Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1920,WAS,Beal,59%,28.2,20.2,+8.0,-4.8,-4.7,-0.1,+5.3
1920,WAS,Bertans,46%,19.0,16.6,+2.3,-0.4,-8.4,+8.0,+4.2
1920,WAS,McRae,19%,18.6,16.9,+1.7,-3.7,-5.0,+1.3,+1.6
1920,WAS,Mathews,7%,15.9,20.5,-4.7,+7.5,-5.6,+13.1,+1.3
1920,WAS,Chiozza,4%,11.5,17.2,-5.7,+19.6,-5.6,+25.3,+0.5
1920,WAS,Robinson,1%,10.4,5.0,+5.3,+31.8,-5.3,+37.1,+0.1
1920,WAS,Uthoff,1%,14.8,9.4,+5.4,+1.3,-4.8,+6.1,+0.1
1920,WAS,Wall,0%,0.0,0.0,+0.0,+0.0,-4.7,+4.7,+0.0
1920,WAS,Bryant,33%,25.7,24.9,+0.7,-6.9,-3.7,-3.2,-0.6
1920,WAS,Napier,14%,16.7,18.8,-2.1,-2.7,-5.1,+2.4,-0.6
1920,WAS,Williams,5%,16.8,14.6,+2.1,-10.6,-4.4,-6.2,-0.7
1920,WAS,BrownJr.,51%,16.9,17.1,-0.2,-6.2,-3.2,-3.0,-1.2
1920,WAS,Miles,5%,13.3,16.8,-3.5,-2.4,-4.9,+2.4,-1.6
1920,WAS,Bonga,36%,12.4,17.9,-5.5,-1.1,-6.8,+5.6,-1.8
1920,WAS,Pasecniks,13%,13.6,19.2,-5.6,-0.2,-5.4,+5.2,-2.0
1920,WAS,Smith,52%,17.1,21.2,-4.1,-3.9,-5.7,+1.8,-2.2
1920,WAS,Mahinmi,23%,17.1,20.8,-3.6,-5.0,-4.7,-0.3,-2.5
1920,WAS,Hachimura,42%,16.6,20.4,-3.8,-8.6,-2.0,-6.6,-4.7
1920,WAS,Wagner,24%,18.5,28.1,-9.6,-5.2,-4.6,-0.6,-6.6
1920,WAS,Jer.Robinson,14%,10.3,19.4,-9.1,-7.0,-4.4,-2.7,-6.9
1920,WAS,Grant,2%,8.0,20.2,-12.2,-1.8,-4.8,+3.0,-7.1
1920,WAS,Thomas,27%,14.3,21.0,-6.7,-10.7,-2.6,-8.2,-7.2
1920,WAS,Schofield,11%,7.8,17.2,-9.5,-7.8,-4.4,-3.4,-7.4
1920,WAS,PaytonII,12%,13.8,22.8,-9.0,-15.9,-3.2,-12.7,-10.2
