Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
2021,CHA,Graham,48%,18.8,16.1,+2.7,+2.9,-6.4,+9.3,+4.9
2021,CHA,Hayward,43%,22.6,18.5,+4.1,+0.6,-3.9,+4.5,+4.3
2021,CHA,Bridges,56%,18.7,16.9,+1.8,-0.2,-4.1,+3.9,+2.5
2021,CHA,Rozier,69%,21.8,18.7,+3.1,-1.8,-2.3,+0.4,+2.2
2021,CHA,Ball,42%,22.7,20.4,+2.3,-2.9,-1.3,-1.6,+1.0
2021,CHA,Monk,25%,17.5,18.7,-1.1,+1.8,-3.3,+5.1,+0.9
2021,CHA,Zeller,29%,22.9,25.5,-2.6,+2.0,-3.6,+5.6,+0.1
2021,CHA,Riller,1%,30.8,28.3,+2.4,-7.5,-1.9,-5.6,-0.2
2021,CHA,CareyJr.,3%,15.1,14.8,+0.3,-5.2,-1.9,-3.3,-0.9
2021,CHA,Washington,56%,17.1,23.0,-6.0,+1.0,-5.7,+6.7,-1.8
2021,CHA,Cody.Martin,24%,10.7,14.9,-4.2,-0.2,-2.5,+2.3,-2.0
2021,CHA,Wanamaker,12%,13.7,14.6,-1.0,-13.8,-0.3,-13.5,-5.1
2021,CHA,Caleb.Martin,24%,9.5,18.5,-9.0,-6.0,-0.7,-5.3,-7.8
2021,CHA,McDaniels,26%,14.5,22.3,-7.8,-9.8,+0.8,-10.5,-8.7
2021,CHA,Biyombo,39%,14.5,21.3,-6.8,-10.0,+3.2,-13.2,-8.9
2021,CHA,Darling,1%,10.2,12.0,-1.7,-57.9,-1.5,-56.4,-11.2
2021,CHA,Richards,2%,7.5,25.4,-17.9,-9.8,-1.8,-7.9,-14.6
