Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
2021,HOU,Harden,8%,28.9,19.2,+9.8,-6.6,-8.2,+1.6,+7.0
2021,HOU,Wood,38%,25.8,21.4,+4.4,-3.6,-10.8,+7.1,+5.3
2021,HOU,Oladipo,19%,19.4,14.9,+4.4,-5.7,-8.6,+2.9,+3.9
2021,HOU,Wall,37%,20.0,17.4,+2.6,-6.3,-9.1,+2.8,+2.6
2021,HOU,Nwaba,20%,18.2,18.8,-0.6,-2.0,-9.5,+7.5,+2.1
2021,HOU,Tate,59%,17.3,18.5,-1.2,-4.5,-13.2,+8.6,+2.1
2021,HOU,Cousins,15%,19.6,20.3,-0.7,-4.5,-8.7,+4.1,+0.9
2021,HOU,K.Thomas,4%,24.2,22.4,+1.8,+4.8,-8.6,+13.4,+0.6
2021,HOU,Thomas,1%,9.7,14.0,-4.4,+20.9,-8.2,+29.1,+0.1
2021,HOU,Caboclo,1%,12.4,12.6,-0.2,+0.0,-8.1,+8.1,+0.0
2021,HOU,Olynyk,24%,28.5,27.8,+0.7,-9.5,-7.6,-2.0,-0.2
2021,HOU,Gordon,23%,18.5,22.6,-4.1,-4.2,-9.2,+5.0,-1.1
2021,HOU,Brown,35%,14.4,19.6,-5.2,-6.2,-9.1,+2.9,-2.5
2021,HOU,Wilson,9%,16.3,20.5,-4.2,-10.6,-7.8,-2.8,-3.8
2021,HOU,MartinJr.,31%,18.5,20.6,-2.1,-13.0,-5.9,-7.1,-3.8
2021,HOU,McLemore,15%,11.0,16.8,-5.8,-8.3,-8.0,-0.4,-4.0
2021,HOU,Augustin,12%,19.8,20.3,-0.5,-17.7,-6.7,-11.0,-4.0
2021,HOU,Jones,9%,15.0,19.1,-4.1,-13.7,-7.5,-6.1,-4.8
2021,HOU,HouseJr.,27%,11.9,17.2,-5.3,-11.7,-6.7,-5.0,-5.2
2021,HOU,Oliver,3%,21.9,31.5,-9.6,-6.2,-8.1,+1.9,-5.8
2021,HOU,Brooks,15%,13.5,21.0,-7.5,-12.7,-7.2,-5.4,-6.8
2021,HOU,Lamb,12%,11.1,20.8,-9.7,-10.5,-7.7,-2.8,-7.4
2021,HOU,PorterJr.,24%,16.3,24.1,-7.8,-13.1,-6.4,-6.7,-7.4
2021,HOU,Jeffries,8%,10.9,19.0,-8.1,-15.0,-7.5,-7.6,-7.9
2021,HOU,Tucker,28%,7.0,20.6,-13.6,-8.4,-7.9,-0.5,-9.2
2021,HOU,Kurucs,2%,1.3,23.5,-22.1,-1.3,-8.2,+6.9,-12.5
2021,HOU,Patton,7%,14.5,31.9,-17.4,-16.1,-7.4,-8.7,-14.5
2021,HOU,Bradley,11%,5.4,24.2,-18.8,-14.6,-7.2,-7.4,-15.0
2021,HOU,Reynolds,1%,8.6,19.9,-11.3,-31.8,-7.8,-24.0,-15.5
2021,HOU,Spalding,1%,0.7,31.2,-30.5,-18.8,-8.0,-10.8,-23.9
