Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
2122,CLE,Garland,62%,24.1,18.1,+5.9,+7.5,-6.5,+14.0,+8.6
2122,CLE,Allen,46%,29.0,19.1,+9.8,+3.7,+0.9,+2.8,+7.5
2122,CLE,Rubio,25%,17.8,13.9,+3.9,+9.2,-0.2,+9.4,+5.8
2122,CLE,Love,42%,25.2,20.7,+4.5,+2.8,+1.7,+1.2,+3.4
2122,CLE,Markkanen,48%,18.7,17.0,+1.6,+4.5,+0.0,+4.4,+2.6
2122,CLE,Mobley,59%,20.4,18.4,+1.9,+2.0,+2.4,-0.4,+1.1
2122,CLE,Newman,0%,40.4,-16.4,+56.8,+6.8,+2.1,+4.6,+0.4
2122,CLE,Kornet,0%,10.3,4.2,+6.1,+65.4,+1.9,+63.5,+0.1
2122,CLE,Scott,0%,24.5,24.3,+0.2,+17.6,+2.1,+15.5,+0.1
2122,CLE,Fall,1%,14.5,13.2,+1.3,+2.6,+2.2,+0.4,+0.0
2122,CLE,Anderson,1%,14.1,27.7,-13.6,+36.1,+1.8,+34.4,+0.0
2122,CLE,Osman,37%,16.8,15.7,+1.1,-1.9,+4.6,-6.5,-1.4
2122,CLE,LeVert,14%,15.8,14.9,+0.9,-3.7,+3.1,-6.9,-1.7
2122,CLE,Okoro,50%,12.9,17.1,-4.2,+2.5,+1.8,+0.7,-2.6
2122,CLE,Stevens,26%,14.2,16.3,-2.1,-2.0,+3.6,-5.6,-3.3
2122,CLE,Windler,12%,11.3,15.1,-3.8,-1.0,+2.6,-3.5,-3.7
2122,CLE,Rondo,10%,17.9,20.0,-2.0,-5.2,+3.0,-8.2,-4.1
2122,CLE,Wade,25%,12.9,18.8,-6.0,+1.9,+2.2,-0.3,-4.1
2122,CLE,Davis,5%,12.0,21.0,-9.0,+3.9,+2.1,+1.9,-5.3
2122,CLE,Goodwin,13%,15.0,21.4,-6.4,-5.2,+3.2,-8.4,-7.0
2122,CLE,Sexton,8%,14.1,22.3,-8.2,-4.6,+2.8,-7.4,-7.9
2122,CLE,Valentine,5%,10.9,19.3,-8.4,-6.1,+2.6,-8.7,-8.5
2122,CLE,NembhardJr.,2%,10.5,22.5,-12.1,-5.6,+2.3,-7.9,-10.7
2122,CLE,M.Brown,4%,25.7,34.8,-9.1,-14.3,+2.9,-17.2,-11.8
2122,CLE,Pangos,4%,8.4,20.5,-12.0,-10.5,+2.7,-13.2,-12.4
2122,CLE,Frazier,0%,-12.9,35.8,-48.7,-61.3,+2.3,-63.6,-42.5
