Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
2122,PHO,Paul,54%,26.3,17.1,+9.1,+10.5,+4.2,+6.3,+8.2
2122,PHO,Booker,60%,26.8,17.5,+9.4,+9.8,+4.3,+5.5,+8.1
2122,PHO,Bridges,72%,18.1,15.8,+2.2,+9.9,+1.7,+8.2,+4.2
2122,PHO,Ayton,43%,27.6,24.1,+3.4,+9.9,+5.9,+4.0,+3.6
2122,PHO,McGee,30%,28.0,22.6,+5.4,+4.8,+8.8,-4.0,+2.3
2122,PHO,Crowder,48%,14.4,15.5,-1.1,+10.2,+5.2,+5.0,+0.9
2122,PHO,Kaminsky,5%,26.7,21.0,+5.7,+10.6,+7.5,+3.1,+0.5
2122,PHO,Payne,32%,17.5,15.3,+2.2,+5.6,+8.6,-3.0,+0.5
2122,PHO,C.Johnson,44%,17.2,15.6,+1.5,+6.2,+8.7,-2.6,+0.2
2122,PHO,Lundberg,1%,10.0,11.6,-1.6,+21.8,+7.5,+14.3,+0.0
2122,PHO,Saric,0%,0.0,0.0,+0.0,+0.0,+7.6,-7.6,+0.0
2122,PHO,Biyombo,13%,21.4,21.2,+0.3,+5.1,+8.0,-2.8,-0.8
2122,PHO,Shamet,36%,12.9,13.4,-0.6,+4.6,+9.4,-4.8,-2.0
2122,PHO,Craig,14%,14.3,14.3,+0.0,+0.9,+8.7,-7.9,-2.6
2122,PHO,Smith,10%,19.6,23.7,-4.0,+7.0,+7.7,-0.6,-2.9
2122,PHO,Wainright,9%,11.5,16.0,-4.5,+5.5,+7.8,-2.3,-3.8
2122,PHO,Hutchison,1%,2.2,21.4,-19.2,+33.9,+7.5,+26.4,-4.0
2122,PHO,A.Holiday,9%,15.7,22.8,-7.1,+6.5,+7.7,-1.3,-5.2
2122,PHO,Payton,14%,10.1,14.8,-4.7,-3.7,+9.4,-13.1,-7.5
2122,PHO,Nader,4%,6.3,13.5,-7.2,-0.7,+7.9,-8.6,-7.7
2122,PHO,Walker,0%,-4.0,-4.2,+0.2,-18.1,+7.7,-25.7,-8.5
2122,PHO,Bass,0%,17.5,38.6,-21.2,+14.4,+7.6,+6.8,-11.9
2122,PHO,Jackson,1%,9.1,29.4,-20.2,-11.4,+7.8,-19.2,-19.9
2122,PHO,Terry,0%,-0.8,34.6,-35.5,-51.8,+7.9,-59.7,-33.6
