Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0708,DET,1,Billups-Hamilton-Prince-McDyess-Wallace,.512,.478,+41,26%,37%,100%,+4%
0708,DET,2,Billups-Hamilton-Prince-McDyess-Maxiell,.503,.490,+3,25%,42%,98%,+4%
0708,DET,3,Billups-Hamilton-Prince-Maxiell-Wallace,.508,.485,+14,32%,40%,102%,+2%
0708,DET,4,Billups-Afflalo-Prince-McDyess-Wallace,.483,.527,+7,30%,38%,107%,+3%
0708,DET,5,Billups-Afflalo-Prince-McDyess-Maxiell,.459,.509,+6,30%,32%,116%,+7%
0708,DET,6,Stuckey-Hamilton-Hayes-McDyess-Maxiell,.500,.567,-21,22%,38%,92%,+1%
0708,DET,7,Stuckey-Hamilton-Hayes-Maxiell-Wallace,.519,.526,-16,25%,29%,100%,+1%
0708,DET,8,Billups-Hamilton-Hayes-McDyess-Maxiell,.587,.438,-1,22%,38%,110%,+1%
0708,DET,9,Billups-Afflalo-Prince-Maxiell-Wallace,.615,.446,+16,21%,34%,100%,-2%
0708,DET,10,Stuckey-Afflalo-Hayes-Johnson-Maxiell,.379,.552,-11,35%,36%,106%,-6%
0708,DET,11,Stuckey-Afflalo-Johnson-Herrmann-Brezec,.474,.400,-9,48%,33%,101%,-5%
0708,DET,12,Murray-Hamilton-Prince-Maxiell-Wallace,.500,.594,+9,26%,39%,115%,-3%
0708,DET,13,Murray-Afflalo-Hayes-Johnson-Mohammed,.485,.420,+2,42%,36%,94%,+5%
0708,DET,14,Billups-Hamilton-Hayes-Maxiell-Wallace,.440,.454,-5,29%,41%,105%,+13%
0708,DET,15,Stuckey-Hamilton-Prince-McDyess-Wallace,.616,.511,-3,26%,28%,98%,-5%
0708,DET,16,Stuckey-Hamilton-Hayes-Johnson-Wallace,.394,.442,+5,43%,31%,102%,-7%
0708,DET,17,Billups-Hamilton-Hayes-McDyess-Wallace,.600,.430,-4,5%,37%,78%,+5%
0708,DET,18,Stuckey-Afflalo-Prince-McDyess-Maxiell,.326,.386,+12,44%,52%,118%,+1%
0708,DET,19,Billups-Hamilton-Prince-McDyess-Ratliff,.427,.529,+14,29%,43%,96%,-5%
0708,DET,20,Billups-Hamilton-Johnson-Prince-Wallace,.511,.382,-2,33%,29%,97%,+17%
