Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0708,HOU,1,Alston-McGrady-Battier-Hayes-Yao,.488,.455,-6,34%,29%,105%,-2%
0708,HOU,2,Alston-McGrady-Battier-Scola-Yao,.530,.475,+26,35%,30%,100%,-1%
0708,HOU,3,Alston-McGrady-Battier-Scola-Mutombo,.484,.453,-11,33%,30%,110%,-3%
0708,HOU,4,Alston-Head-Battier-Hayes-Yao,.529,.454,-23,39%,33%,101%,-2%
0708,HOU,5,Alston-McGrady-Battier-Scola-Hayes,.461,.449,-10,34%,38%,102%,+8%
0708,HOU,6,Alston-Wells-Battier-Hayes-Yao,.470,.475,+19,41%,28%,99%,+2%
0708,HOU,7,Jackson-McGrady-Battier-Scola-Mutombo,.503,.442,+12,32%,24%,88%,+1%
0708,HOU,8,Alston-Head-Battier-Scola-Yao,.500,.458,-3,38%,35%,102%,-6%
0708,HOU,9,Alston-Wells-McGrady-Battier-Yao,.531,.426,-6,40%,34%,99%,+5%
0708,HOU,10,Alston-Head-Wells-Battier-Yao,.476,.405,-13,41%,26%,85%,-5%
0708,HOU,11,Francis-McGrady-Battier-Hayes-Yao,.457,.511,+2,30%,28%,102%,-20%
0708,HOU,12,James-Head-Wells-Scola-Yao,.448,.433,+1,44%,21%,99%,-2%
0708,HOU,13,Alston-McGrady-Battier-Landry-Yao,.494,.420,+6,43%,23%,110%,+2%
0708,HOU,14,Alston-McGrady-Battier-Landry-Scola,.479,.546,+12,38%,49%,108%,+6%
0708,HOU,15,James-Head-Wells-Battier-Yao,.527,.510,0,20%,31%,125%,-8%
0708,HOU,16,Jackson-McGrady-Battier-Scola-Hayes,.500,.330,+1,35%,20%,105%,+14%
0708,HOU,17,Alston-Head-McGrady-Battier-Scola,.527,.522,+13,41%,43%,90%,-6%
0708,HOU,18,Alston-Head-McGrady-Scola-Mutombo,.375,.475,+9,38%,22%,103%,+5%
0708,HOU,19,Jackson-Head-McGrady-Landry-Hayes,.696,.410,-3,35%,32%,101%,-1%
0708,HOU,20,Brooks-Wells-Battier-Scola-Yao,.647,.595,+6,44%,38%,88%,+3%
