Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0708,SAC,1,Udrih-Martin-Artest-Moore-Miller,.520,.545,+23,35%,32%,102%,+1%
0708,SAC,2,Udrih-Salmons-Garcia-Moore-Miller,.507,.504,+4,39%,38%,101%,-6%
0708,SAC,3,Udrih-Salmons-Artest-Moore-Miller,.501,.509,+1,41%,35%,97%,0%
0708,SAC,4,Bibby-Martin-Artest-Moore-Miller,.547,.522,-9,36%,30%,105%,+2%
0708,SAC,5,Johnson-Martin-Artest-Moore-Miller,.543,.467,-2,30%,30%,97%,-2%
0708,SAC,6,Udrih-Martin-Salmons-Artest-Miller,.531,.510,+30,42%,39%,98%,-4%
0708,SAC,7,Udrih-Salmons-Garcia-Artest-Miller,.524,.515,+5,44%,39%,87%,-3%
0708,SAC,8,Bibby-Martin-Salmons-Artest-Miller,.497,.557,+12,36%,28%,105%,+2%
0708,SAC,9,Martin-Salmons-Garcia-Moore-Miller,.500,.545,+7,30%,36%,94%,0%
0708,SAC,10,Udrih-Martin-Garcia-Artest-Miller,.507,.538,-3,42%,40%,102%,0%
0708,SAC,11,Udrih-Martin-Salmons-Moore-Miller,.508,.500,+14,30%,29%,92%,0%
0708,SAC,12,Udrih-Salmons-Garcia-Moore-Hawes,.541,.532,-18,31%,34%,89%,-4%
0708,SAC,13,Douby-Salmons-Garcia-Artest-Hawes,.462,.477,+3,35%,30%,103%,+6%
0708,SAC,14,Douby-Salmons-Garcia-S.Williams-Hawes,.450,.482,+2,41%,36%,106%,-4%
0708,SAC,15,Johnson-Martin-Salmons-Moore-Hawes,.565,.596,-9,30%,40%,101%,-6%
0708,SAC,16,Udrih-Garcia-Artest-Moore-Miller,.403,.316,-12,30%,29%,102%,+1%
0708,SAC,17,Martin-Salmons-Garcia-Artest-Miller,.549,.478,+3,32%,32%,87%,+11%
0708,SAC,18,Udrih-Martin-Salmons-Garcia-Miller,.627,.553,+12,49%,25%,96%,+5%
0708,SAC,19,Bibby-Martin-Salmons-Artest-Moore,.424,.671,+5,33%,45%,81%,-2%
0708,SAC,20,Udrih-Martin-Salmons-Moore-Hawes,.508,.473,+6,33%,37%,96%,-1%
