Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0708,SEA,1,Watson-Durant-Green-Collison-Petro,.464,.534,+7,31%,30%,103%,-1%
0708,SEA,2,Watson-Durant-Wilkins-Wilcox-Thomas,.454,.486,+6,29%,31%,101%,0%
0708,SEA,3,Watson-Durant-Wilkins-Wilcox-Collison,.474,.540,+6,38%,39%,97%,-6%
0708,SEA,4,Watson-Durant-Green-Wilcox-Petro,.494,.487,+2,39%,43%,98%,-5%
0708,SEA,5,Watson-Durant-Green-Collison-Thomas,.416,.479,-2,32%,38%,100%,-5%
0708,SEA,6,Watson-Durant-Green-Wilcox-Thomas,.471,.504,+5,31%,27%,94%,-2%
0708,SEA,7,Watson-Durant-Green-Wilcox-Collison,.500,.558,+5,41%,37%,105%,-10%
0708,SEA,8,Watson-Durant-Wilkins-Green-Collison,.450,.616,-19,42%,38%,112%,-10%
0708,SEA,9,Watson-Durant-Green-Collison-Elson,.396,.486,-13,29%,28%,103%,0%
0708,SEA,10,West-Durant-Wilkins-Wilcox-Thomas,.379,.451,+7,36%,39%,90%,+5%
0708,SEA,11,Ridnour-Durant-Wilkins-Wilcox-Collison,.493,.514,-2,40%,39%,103%,+1%
0708,SEA,12,Ridnour-Szczerbiak-Wilkins-Collison-Petro,.449,.412,-4,25%,28%,100%,-4%
0708,SEA,13,Watson-Durant-Szczerbiak-Wilcox-Collison,.494,.395,-12,26%,30%,87%,-5%
0708,SEA,14,Ridnour-Durant-Green-Collison-Petro,.466,.519,-7,26%,28%,94%,-10%
0708,SEA,15,Ridnour-Durant-Wilkins-Collison-Petro,.560,.408,-9,18%,27%,98%,+5%
0708,SEA,16,Ridnour-Durant-Wilkins-Green-Collison,.440,.535,+11,33%,35%,98%,-2%
0708,SEA,17,Watson-Durant-Szczerbiak-Collison-Thomas,.569,.484,0,33%,21%,104%,-6%
0708,SEA,18,Watson-Durant-Szczerbiak-Green-Collison,.548,.422,-2,43%,36%,108%,-2%
0708,SEA,19,Watson-Durant-Szczerbiak-Wilcox-Thomas,.566,.429,-1,25%,30%,111%,-16%
0708,SEA,20,Watson-Ridnour-Durant-Green-Collison,.473,.508,+1,21%,30%,106%,-8%
