Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0809,CLE,1,Williams-West-James-Wallace-Ilgauskas,.538,.463,+59,33%,37%,51%,+4%
0809,CLE,2,Williams-West-James-Varejao-Ilgauskas,.528,.472,+15,30%,36%,50.5%,+2%
0809,CLE,3,Williams-West-James-Varejao-Wallace,.487,.488,+7,35%,38%,50.5%,+9%
0809,CLE,4,Gibson-West-Szczerbiak-James-Varejao,.547,.441,-9,34%,35%,49.5%,-1%
0809,CLE,5,Gibson-Williams-Szczerbiak-Varejao-Hickson,.477,.531,-19,20%,38%,45.5%,-2%
0809,CLE,6,Williams-Pavlovic-James-Varejao-Wallace,.538,.526,+14,29%,35%,52%,+2%
0809,CLE,7,Gibson-Williams-Szczerbiak-Varejao-Ilgauskas,.553,.459,+15,25%,36%,49%,+1%
0809,CLE,8,Gibson-Williams-Szczerbiak-James-Varejao,.508,.496,+1,32%,41%,50%,+4%
0809,CLE,9,Williams-Szczerbiak-James-Wallace-Ilgauskas,.476,.475,+11,24%,37%,54%,0%
0809,CLE,10,Gibson-Williams-James-Varejao-Ilgauskas,.500,.420,+10,29%,26%,65.5%,-2%
0809,CLE,11,Gibson-West-James-Varejao-Wallace,.557,.550,+27,35%,36%,56%,+9%
0809,CLE,12,Williams-Pavlovic-James-Wallace-Ilgauskas,.568,.526,+3,34%,30%,58.5%,+1%
0809,CLE,13,Gibson-Kinsey-Pavlovic-Jackson-Hickson,.446,.478,-11,23%,25%,51%,-11%
0809,CLE,14,Williams-West-James-Varejao-Smith,.419,.488,+14,26%,33%,49%,-2%
0809,CLE,15,Williams-West-Szczerbiak-James-Varejao,.579,.389,+12,34%,40%,38.5%,+13%
0809,CLE,16,West-Szczerbiak-Pavlovic-James-Varejao,.566,.525,+12,46%,44%,47%,+11%
0809,CLE,17,Gibson-Williams-Pavlovic-Jackson-Smith,.566,.555,-6,30%,38%,52.5%,-7%
0809,CLE,18,Gibson-Szczerbiak-Pavlovic-James-Varejao,.455,.352,-1,39%,31%,48%,+6%
0809,CLE,19,Gibson-Williams-Pavlovic-Varejao-Ilgauskas,.451,.370,-2,27%,30%,52%,0%
0809,CLE,20,Gibson-West-James-Varejao-Ilgauskas,.546,.459,+12,30%,31%,59.5%,0%
