Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0809,LAL,1,Fisher-Bryant-Ariza-Odom-Gasol,.518,.499,+62,39%,33%,51%,+7%
0809,LAL,2,Fisher-Bryant-Radmanovic-Gasol-Bynum,.537,.511,+52,34%,34%,50%,-1%
0809,LAL,3,Fisher-Bryant-Walton-Odom-Gasol,.535,.480,+36,36%,33%,54%,+3%
0809,LAL,4,Fisher-Bryant-Walton-Gasol-Bynum,.523,.494,+18,37%,35%,52%,-1%
0809,LAL,5,Farmar-Vujacic-Ariza-Odom-Bynum,.517,.458,-8,44%,36%,53%,+3%
0809,LAL,6,Farmar-Bryant-Ariza-Odom-Gasol,.558,.491,+48,41%,38%,47.5%,+2%
0809,LAL,7,Farmar-Vujacic-Ariza-Odom-Gasol,.537,.506,+19,44%,38%,44%,+6%
0809,LAL,8,Fisher-Bryant-Ariza-Gasol-Bynum,.512,.474,-7,39%,41%,49.5%,-4%
0809,LAL,9,Fisher-Bryant-Radmanovic-Odom-Gasol,.524,.489,+16,34%,31%,53%,+3%
0809,LAL,10,Farmar-Vujacic-Ariza-Powell-Gasol,.463,.506,-33,37%,42%,50.5%,-4%
0809,LAL,11,Farmar-Vujacic-Walton-Powell-Gasol,.443,.470,-5,38%,41%,49%,-2%
0809,LAL,12,Farmar-Bryant-Ariza-Odom-Bynum,.559,.457,+24,49%,31%,49%,+4%
0809,LAL,13,Fisher-Bryant-Ariza-Odom-Bynum,.465,.487,+15,19%,38%,44.5%,+8%
0809,LAL,14,Vujacic-Bryant-Ariza-Odom-Bynum,.507,.359,-2,42%,34%,55.5%,+3%
0809,LAL,15,Farmar-Bryant-Ariza-Powell-Gasol,.493,.592,-8,38%,49%,44%,-1%
0809,LAL,16,Vujacic-Bryant-Ariza-Odom-Gasol,.472,.543,+13,31%,48%,51%,+4%
0809,LAL,17,Fisher-Bryant-Ariza-Powell-Gasol,.480,.500,-8,30%,40%,56%,+7%
0809,LAL,18,Farmar-Bryant-Walton-Odom-Gasol,.526,.476,+7,40%,31%,61.5%,+6%
0809,LAL,19,Fisher-Vujacic-Ariza-Odom-Bynum,.458,.534,0,48%,34%,59.5%,+5%
0809,LAL,20,Farmar-Vujacic-Bryant-Odom-Gasol,.625,.456,+11,50%,35%,48%,+9%
