Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0809,NYK,1,Duhon-Richardson-Chandler-Harrington-Lee,.509,.526,+6,37%,35%,48%,-3%
0809,NYK,2,Duhon-Jeffries-Chandler-Harrington-Lee,.502,.507,-36,42%,34%,50.5%,+1%
0809,NYK,3,Robinson-Duhon-Chandler-Harrington-Lee,.487,.500,-17,37%,37%,51%,-1%
0809,NYK,4,Duhon-Richardson-Jeffries-Chandler-Lee,.534,.551,+9,33%,36%,47.5%,-6%
0809,NYK,5,Duhon-Hughes-Chandler-Harrington-Lee,.502,.559,+5,35%,40%,49%,+2%
0809,NYK,6,Duhon-Richardson-Jeffries-Harrington-Lee,.494,.507,+9,45%,34%,52.5%,+2%
0809,NYK,7,Robinson-Duhon-Richardson-Chandler-Lee,.490,.507,-14,35%,37%,49%,-7%
0809,NYK,8,Duhon-Crawford-Richardson-Chandler-Randolph,.565,.502,-4,26%,33%,45.5%,+2%
0809,NYK,9,Robinson-Duhon-Richardson-Harrington-Lee,.560,.529,0,33%,45%,42.5%,-1%
0809,NYK,10,Duhon-Crawford-Richardson-Lee-Randolph,.440,.529,+2,41%,43%,44%,-1%
0809,NYK,11,Robinson-Hughes-Chandler-Harrington-Lee,.453,.553,-3,39%,35%,51.5%,+8%
0809,NYK,12,Robinson-Duhon-Jeffries-Harrington-Lee,.621,.528,-1,37%,33%,48.5%,-1%
0809,NYK,13,Robinson-Duhon-Thomas-Harrington-Lee,.458,.526,-3,37%,38%,46%,+2%
0809,NYK,14,Robinson-Jeffries-Chandler-Harrington-Lee,.495,.646,+10,36%,40%,52%,+12%
0809,NYK,15,Robinson-Gallinari-Chandler-Thomas-Harrington,.553,.494,0,40%,37%,45%,-1%
0809,NYK,16,Robinson-Duhon-Crawford-Chandler-Lee,.581,.674,+9,41%,42%,52%,+9%
0809,NYK,17,Robinson-Duhon-Hughes-Harrington-Lee,.647,.576,+5,41%,42%,41.5%,-5%
0809,NYK,18,Robinson-Duhon-Chandler-Thomas-Lee,.455,.571,-13,37%,29%,47%,-4%
0809,NYK,19,Robinson-Duhon-Jeffries-Chandler-Lee,.451,.581,+15,33%,32%,58%,+6%
0809,NYK,20,Robinson-Hughes-Richardson-Chandler-Wilcox,.438,.618,+11,37%,34%,37.5%,+2%
