Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0809,OKC,1,Westbrook-Sefolosha-Durant-Green-Krstic,.439,.551,-5,32%,40%,48.5%,0%
0809,OKC,2,Westbrook-Mason-Durant-Green-Collison,.553,.476,+17,35%,32%,55.5%,-4%
0809,OKC,3,Watson-Westbrook-Durant-Green-Collison,.473,.471,+12,49%,38%,57%,-1%
0809,OKC,4,Westbrook-Weaver-Durant-Green-Collison,.507,.580,-5,36%,44%,52.5%,-4%
0809,OKC,5,Watson-Durant-Green-Collison-Petro,.424,.579,-1,28%,42%,52%,-1%
0809,OKC,6,Westbrook-Weaver-Durant-Green-Krstic,.474,.530,+3,31%,40%,49.5%,-8%
0809,OKC,7,Westbrook-Mason-Durant-Green-Smith,.446,.474,-3,35%,39%,47%,0%
0809,OKC,8,Westbrook-Mason-Durant-Green-Swift,.528,.548,-13,32%,50%,48%,+3%
0809,OKC,9,Westbrook-Wilkins-Durant-Green-Wilcox,.474,.555,-1,41%,48%,52%,+1%
0809,OKC,10,Westbrook-Weaver-Sefolosha-Collison-Krstic,.509,.439,0,33%,33%,55.5%,+2%
0809,OKC,11,Westbrook-Sefolosha-Durant-Green-Collison,.385,.474,-7,36%,39%,50.5%,-5%
0809,OKC,12,Westbrook-Mason-Durant-Green-Wilcox,.444,.444,+17,41%,48%,57%,-7%
0809,OKC,13,Westbrook-Weaver-Sefolosha-Green-Krstic,.470,.462,+7,27%,47%,47.5%,-3%
0809,OKC,14,Watson-Westbrook-Durant-Green-Wilcox,.533,.687,+15,43%,42%,43.5%,-8%
0809,OKC,15,Watson-Wilkins-Durant-Green-Collison,.339,.604,-1,38%,41%,46%,+1%
0809,OKC,16,Watson-Mason-Durant-Green-Collison,.582,.532,-11,41%,34%,51.5%,-6%
0809,OKC,17,Watson-Westbrook-Durant-Green-Krstic,.487,.494,+7,42%,45%,49.5%,+1%
0809,OKC,18,Watson-Durant-Green-Collison-Swift,.460,.665,-4,36%,41%,49.5%,-7%
0809,OKC,19,Westbrook-Mason-Durant-Green-Krstic,.455,.493,+1,41%,38%,51.5%,-5%
0809,OKC,20,Westbrook-Mason-Green-Smith-Wilcox,.463,.443,-7,38%,39%,55%,+2%
