Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0809,ORL,1,Alston-Lee-Turkoglu-Lewis-Howard,.524,.476,+47,41%,30%,47%,-2%
0809,ORL,2,Nelson-Bogans-Turkoglu-Lewis-Howard,.557,.430,+36,35%,28%,48.5%,0%
0809,ORL,3,Nelson-Lee-Turkoglu-Lewis-Howard,.591,.443,+25,38%,27%,50.5%,-2%
0809,ORL,4,Nelson-Pietrus-Turkoglu-Lewis-Howard,.546,.468,+21,37%,32%,47.5%,+1%
0809,ORL,5,Johnson-Pietrus-Turkoglu-Lewis-Howard,.527,.483,+24,41%,29%,52.5%,-1%
0809,ORL,6,Johnson-Lee-Turkoglu-Lewis-Howard,.538,.493,+40,40%,32%,48.5%,+2%
0809,ORL,7,Nelson-Redick-Turkoglu-Lewis-Howard,.539,.533,+8,40%,33%,47.5%,+2%
0809,ORL,8,Alston-Lee-Pietrus-Lewis-Howard,.500,.485,+24,42%,30%,52.5%,+1%
0809,ORL,9,Johnson-Redick-Turkoglu-Lewis-Howard,.523,.479,+14,38%,33%,49%,-5%
0809,ORL,10,Johnson-Lee-Pietrus-Lewis-Howard,.624,.448,+5,45%,41%,52.5%,-7%
0809,ORL,11,Johnson-Redick-Turkoglu-Battie-Howard,.591,.449,+16,40%,19%,58.5%,+1%
0809,ORL,12,Nelson-Bogans-Pietrus-Lewis-Howard,.462,.500,+8,32%,38%,52.5%,+2%
0809,ORL,13,Johnson-Pietrus-Turkoglu-Battie-Howard,.457,.449,+16,36%,17%,49.5%,-3%
0809,ORL,14,Johnson-Redick-Turkoglu-Gortat-Battie,.475,.384,-6,29%,40%,50%,-4%
0809,ORL,15,Nelson-Bogans-Turkoglu-Lewis-Battie,.521,.500,-3,25%,38%,53.5%,-3%
0809,ORL,16,Johnson-Redick-Pietrus-Battie-Howard,.500,.507,0,28%,34%,56.5%,-8%
0809,ORL,17,Johnson-Lee-Turkoglu-Battie-Howard,.407,.484,+14,31%,33%,42.5%,+2%
0809,ORL,18,Johnson-Pietrus-Turkoglu-Gortat-Battie,.443,.439,-1,18%,33%,49%,-2%
0809,ORL,19,Alston-Redick-Turkoglu-Lewis-Howard,.515,.347,-1,26%,26%,44.5%,-4%
0809,ORL,20,Nelson-Bogans-Turkoglu-Lewis-Gortat,.507,.383,-9,31%,31%,50%,0%
