Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0809,UTA,1,Williams-Miles-Brewer-Millsap-Okur,.529,.548,+10,40%,42%,50.5%,0%
0809,UTA,2,Williams-Miles-Brewer-Boozer-Okur,.504,.534,-11,39%,36%,52.5%,+1%
0809,UTA,3,Williams-Korver-Kirilenko-Millsap-Okur,.531,.474,+81,42%,33%,52%,+4%
0809,UTA,4,Williams-Brewer-Korver-Millsap-Okur,.599,.459,-5,38%,39%,51%,-2%
0809,UTA,5,Knight-Harpring-Korver-Kirilenko-Millsap,.482,.473,+12,34%,27%,53.5%,+5%
0809,UTA,6,Price-Miles-Brewer-Boozer-Okur,.497,.532,-16,46%,34%,49%,-1%
0809,UTA,7,Knight-Korver-Kirilenko-Millsap-Okur,.527,.423,+11,41%,32%,54.5%,+4%
0809,UTA,8,Williams-Korver-Kirilenko-Millsap-Boozer,.552,.526,+31,40%,41%,43.5%,+4%
0809,UTA,9,Williams-Brewer-Kirilenko-Boozer-Okur,.489,.619,-3,39%,42%,46.5%,+1%
0809,UTA,10,Williams-Miles-Brewer-Kirilenko-Okur,.590,.509,+13,30%,46%,46.5%,+1%
0809,UTA,11,Williams-Brewer-Kirilenko-Millsap-Okur,.514,.536,+10,36%,39%,59%,+4%
0809,UTA,12,Price-Miles-Brewer-Millsap-Okur,.563,.602,-5,44%,38%,46.5%,+7%
0809,UTA,13,Knight-Korver-Kirilenko-Millsap-Boozer,.512,.552,+16,33%,49%,48%,+3%
0809,UTA,14,Williams-Miles-Brewer-Kirilenko-Koufos,.554,.512,-9,42%,30%,50%,+4%
0809,UTA,15,Williams-Brewer-Korver-Kirilenko-Okur,.587,.469,+17,44%,37%,40%,+6%
0809,UTA,16,Williams-Harpring-Korver-Millsap-Okur,.525,.492,-14,30%,34%,45%,+8%
0809,UTA,17,Williams-Brewer-Korver-Boozer-Okur,.513,.627,-3,28%,39%,50.5%,0%
0809,UTA,18,Williams-Price-Brewer-Kirilenko-Okur,.536,.532,+6,26%,37%,39%,+6%
0809,UTA,19,Williams-Miles-Korver-Millsap-Okur,.508,.480,-1,40%,32%,40.5%,-3%
0809,UTA,20,Knight-Brewer-Korver-Millsap-Okur,.590,.420,+4,46%,25%,48%,+3%
