Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0910,NOH,1,Paul-D.Brown-Stojakovic-West-Okafor,.462,.471,+13,30%,37%,48.5%,+3%
0910,NOH,2,Collison-Peterson-Stojakovic-West-Okafor,.478,.506,+21,36%,43%,50.5%,-1%
0910,NOH,3,Collison-Thornton-Peterson-West-Okafor,.532,.527,-6,35%,42%,47.0%,0%
0910,NOH,4,Collison-Thornton-Posey-West-Songaila,.508,.543,-22,37%,34%,45.5%,-2%
0910,NOH,5,Collison-Thornton-Stojakovic-West-Okafor,.473,.505,+9,39%,47%,45.0%,+2%
0910,NOH,6,Paul-Thornton-Peterson-West-Okafor,.388,.534,+3,30%,32%,49.0%,-1%
0910,NOH,7,Collison-Peterson-Wright-West-Okafor,.500,.545,+7,37%,38%,50.0%,-4%
0910,NOH,8,Collison-D.Brown-Stojakovic-West-Okafor,.401,.436,-12,38%,35%,49.0%,-6%
0910,NOH,9,Paul-Thornton-Stojakovic-West-Okafor,.544,.508,+31,30%,37%,53.0%,-1%
0910,NOH,10,Paul-Peterson-Wright-West-Okafor,.446,.441,-3,27%,34%,49.0%,-1%
0910,NOH,11,Collison-Thornton-Posey-Stojakovic-West,.429,.589,-22,30%,40%,48.5%,-7%
0910,NOH,12,Collison-Thornton-Posey-Wright-Songaila,.521,.459,-15,44%,32%,50.0%,+9%
0910,NOH,13,Collison-Thornton-Posey-West-Okafor,.456,.545,-17,40%,33%,45.5%,-4%
0910,NOH,14,Paul-D.Brown-Stojakovic-Songaila-Okafor,.446,.570,+11,24%,40%,41.0%,-1%
0910,NOH,15,Collison-Posey-Stojakovic-West-Songaila,.447,.449,-6,44%,30%,47.5%,-1%
0910,NOH,16,Collison-Thornton-Posey-Wright-West,.517,.453,+6,46%,36%,50.5%,-5%
0910,NOH,17,Paul-Thornton-Posey-West-Songaila,.532,.484,+16,30%,33%,48.5%,+4%
0910,NOH,18,Paul-D.Brown-Posey-West-Okafor,.574,.400,+6,20%,29%,48.0%,0%
0910,NOH,19,Collison-Thornton-Posey-Songaila-Okafor,.435,.384,+4,37%,26%,43.5%,-5%
0910,NOH,20,Collison-D.Brown-Posey-West-Okafor,.536,.574,+17,43%,31%,55.5%,+3%
