Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0910,PHI,1,Williams-Iguodala-Young-Brand-Dalembert,.475,.486,+12,36%,39%,51.0%,-3%
0910,PHI,2,Holiday-Iguodala-Kapono-Brand-Dalembert,.525,.505,-1,35%,33%,52.5%,-5%
0910,PHI,3,Williams-Iverson-Iguodala-Young-Dalembert,.486,.494,-12,37%,38%,51.0%,-3%
0910,PHI,4,Holiday-Green-Iguodala-Brand-Dalembert,.487,.401,+13,26%,33%,50.5%,-2%
0910,PHI,5,Holiday-Iverson-Iguodala-Brand-Dalembert,.430,.461,-18,29%,35%,58.0%,-4%
0910,PHI,6,Holiday-Williams-Iguodala-Brand-Dalembert,.463,.517,+6,32%,30%,54.0%,-2%
0910,PHI,7,Holiday-Green-Iguodala-Young-Dalembert,.426,.538,-7,31%,34%,49.5%,-2%
0910,PHI,8,Iverson-Iguodala-Young-Brand-Dalembert,.488,.462,-20,33%,37%,51.0%,-4%
0910,PHI,9,Williams-Green-Iguodala-Young-Dalembert,.431,.364,-4,32%,44%,49.0%,-2%
0910,PHI,10,Williams-Green-Iguodala-Young-Brand,.460,.531,-6,22%,38%,43.5%,+2%
0910,PHI,11,Williams-Iguodala-Young-Brand-Speights,.533,.461,+3,39%,34%,46.5%,+5%
0910,PHI,12,Holiday-Green-Iguodala-Young-Brand,.505,.410,+2,42%,36%,59.5%,+3%
0910,PHI,13,Holiday-Williams-Iguodala-Young-Brand,.520,.478,+7,44%,39%,53.5%,+1%
0910,PHI,14,Williams-Carney-Iguodala-Young-Brand,.422,.397,+4,39%,40%,52.0%,+10%
0910,PHI,15,Holiday-Williams-Iguodala-Young-Dalembert,.614,.611,-1,44%,46%,51.0%,-1%
0910,PHI,16,Williams-Green-Iguodala-Young-Speights,.523,.623,+14,45%,44%,42.0%,-1%
0910,PHI,17,Williams-Iverson-Iguodala-Young-Brand,.535,.405,+9,45%,43%,43.0%,+6%
0910,PHI,18,Holiday-Iverson-Iguodala-Young-Dalembert,.438,.400,-10,33%,35%,61.5%,+4%
0910,PHI,19,Williams-Iverson-Iguodala-Brand-Dalembert,.426,.492,+6,34%,40%,47.5%,+5%
0910,PHI,20,Iverson-Green-Iguodala-Brand-Dalembert,.448,.294,+4,28%,39%,61.0%,-2%
