Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
0910,SAS,1,Hill-Ginobili-Jefferson-McDyess-Duncan,.499,.451,-8,31%,30%,52.5%,-1%
0910,SAS,2,Parker-Bogans-Jefferson-McDyess-Duncan,.497,.445,+44,35%,32%,53.0%,-2%
0910,SAS,3,Parker-Bogans-Jefferson-Blair-Duncan,.467,.425,0,30%,29%,51.0%,-7%
0910,SAS,4,Hill-Ginobili-Bogans-McDyess-Duncan,.423,.504,-16,24%,29%,52.0%,-1%
0910,SAS,5,Hill-Ginobili-Jefferson-Bonner-Duncan,.571,.481,+24,34%,40%,41.0%,+3%
0910,SAS,6,Parker-Hill-Jefferson-McDyess-Duncan,.487,.386,+4,38%,34%,55.0%,+4%
0910,SAS,7,Parker-Ginobili-Jefferson-McDyess-Duncan,.563,.436,+10,37%,33%,55.5%,-8%
0910,SAS,8,Hill-Bogans-Jefferson-McDyess-Duncan,.461,.489,-2,42%,33%,50.5%,-2%
0910,SAS,9,Parker-Hill-Ginobili-Jefferson-Duncan,.372,.476,+19,40%,41%,51.5%,+7%
0910,SAS,10,Parker-Finley-Jefferson-Bonner-Duncan,.476,.474,+12,28%,34%,43.5%,-2%
0910,SAS,11,Hill-Mason-Ginobili-Jefferson-Blair,.398,.486,-5,39%,26%,57.0%,+11%
0910,SAS,12,Ginobili-Temple-Jefferson-McDyess-Duncan,.475,.372,-2,29%,26%,53.5%,+3%
0910,SAS,13,Hill-Mason-Ginobili-McDyess-Duncan,.530,.456,-14,28%,32%,57.0%,+2%
0910,SAS,14,Hill-Mason-Ginobili-McDyess-Blair,.402,.408,-7,22%,31%,53.0%,+3%
0910,SAS,15,Parker-Ginobili-Jefferson-Bonner-Duncan,.433,.407,+25,34%,23%,46.0%,+2%
0910,SAS,16,Hill-Mason-Jefferson-McDyess-Duncan,.451,.479,-7,24%,27%,54.5%,-10%
0910,SAS,17,Parker-Mason-Ginobili-McDyess-Duncan,.430,.360,-1,25%,35%,53.0%,+2%
0910,SAS,18,Parker-Ginobili-Bogans-Jefferson-Duncan,.458,.380,+5,40%,30%,41.5%,+3%
0910,SAS,19,Parker-Ginobili-Bogans-Blair-Duncan,.516,.556,+6,42%,41%,51.5%,0%
0910,SAS,20,Parker-Ginobili-Bogans-McDyess-Duncan,.485,.418,+6,28%,24%,51.5%,0%
