Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1011,NJN,1,Harris-Morrow-Outlaw-Humphries-Lopez,.443,.483,+18,31%,33%,50.5%,-5%
1011,NJN,2,Harris-Graham-Outlaw-Favors-Lopez,.466,.454,-11,41%,32%,47.5%,-7%
1011,NJN,3,Harris-Graham-Outlaw-Humphries-Lopez,.482,.520,+7,38%,31%,51.0%,-3%
1011,NJN,4,Harris-Morrow-Outlaw-Favors-Lopez,.450,.482,-12,35%,36%,49.5%,-2%
1011,NJN,5,Farmar-Morrow-Vujacic-Humphries-Lopez,.435,.519,-17,21%,37%,50.5%,-7%
1011,NJN,6,Farmar-Morrow-Outlaw-Humphries-Lopez,.530,.425,-28,27%,34%,42.5%,-3%
1011,NJN,7,Harris-Vujacic-Outlaw-Humphries-Lopez,.465,.511,+13,28%,29%,51.0%,+8%
1011,NJN,8,Harris-Morrow-Outlaw-Murphy-Lopez,.398,.475,-5,21%,34%,45.0%,0%
1011,NJN,9,D.Williams-Vujacic-James-Humphries-Lopez,.474,.500,-9,31%,39%,47.5%,+2%
1011,NJN,10,Harris-Vujacic-Outlaw-Favors-Lopez,.432,.433,-3,35%,42%,46.0%,-11%
1011,NJN,11,Harris-Morrow-Vujacic-Humphries-Lopez,.446,.438,+1,30%,38%,54.0%,+5%
1011,NJN,12,Farmar-Morrow-Vujacic-Humphries-Petro,.430,.353,-14,24%,32%,54.0%,0%
1011,NJN,13,Farmar-Vujacic-Graham-Gadzuric-Lopez,.440,.442,-1,25%,34%,50.0%,-4%
1011,NJN,14,Farmar-Morrow-James-Humphries-Lopez,.451,.413,+12,30%,24%,58.0%,-5%
1011,NJN,15,Farmar-Vujacic-Outlaw-Humphries-Lopez,.324,.446,-4,34%,32%,49.5%,0%
1011,NJN,16,Harris-Farmar-Morrow-Humphries-Lopez,.486,.545,-2,30%,25%,55.5%,+7%
1011,NJN,17,Harris-Farmar-Outlaw-Humphries-Lopez,.422,.540,+2,30%,25%,52.0%,-2%
1011,NJN,18,D.Williams-Morrow-Vujacic-Humphries-Lopez,.509,.548,+16,25%,34%,53.0%,-2%
1011,NJN,19,Farmar-Vujacic-Outlaw-Humphries-Petro,.462,.433,-6,20%,33%,51.0%,+2%
1011,NJN,20,D.Williams-Morrow-Outlaw-Humphries-Lopez,.426,.431,+5,19%,28%,51.0%,-5%
