Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1112,MIA,1,Chalmers-Wade-James-Bosh-Anthony,.506,.431,+68,35%,38%,48.0%,+1%
1112,MIA,2,Cole-Wade-Battier-Haslem-Bosh,.441,.407,+1,41%,28%,49.0%,-1%
1112,MIA,3,Chalmers-Wade-James-Haslem-Bosh,.464,.382,+17,34%,35%,51.0%,0%
1112,MIA,4,Cole-Miller-Battier-Haslem-Bosh,.446,.450,-6,32%,29%,54.5%,+3%
1112,MIA,5,Chalmers-Battier-James-Haslem-Anthony,.483,.430,+5,27%,30%,49.5%,+1%
1112,MIA,6,Chalmers-Jones-James-Bosh-Anthony,.540,.447,+3,33%,30%,50.5%,+2%
1112,MIA,7,Cole-Miller-Battier-James-Haslem,.537,.375,0,28%,30%,46.0%,+3%
1112,MIA,8,Chalmers-Battier-James-Bosh-Anthony,.486,.478,+3,21%,30%,48.5%,-1%
1112,MIA,9,Chalmers-Wade-Battier-James-Anthony,.464,.488,+9,31%,33%,47.0%,+7%
1112,MIA,10,Chalmers-Wade-Battier-James-Bosh,.425,.465,+3,33%,30%,53.0%,+15%
1112,MIA,11,Cole-Wade-Miller-Haslem-Bosh,.553,.375,+2,37%,32%,49.0%,+1%
1112,MIA,12,Chalmers-Wade-James-Bosh-Turiaf,.443,.463,-5,39%,21%,47.0%,-2%
1112,MIA,13,Cole-Wade-James-Haslem-Bosh,.425,.453,+12,34%,28%,46.5%,+10%
1112,MIA,14,Cole-Wade-James-Bosh-Anthony,.451,.465,0,27%,25%,48.5%,+2%
1112,MIA,15,Chalmers-Wade-James-Haslem-Anthony,.515,.500,+9,24%,34%,53.5%,+6%
1112,MIA,16,Chalmers-Battier-James-Haslem-Bosh,.468,.400,+15,30%,31%,45.5%,-4%
1112,MIA,17,Chalmers-Battier-James-Bosh-Turiaf,.561,.380,+10,37%,36%,59.5%,+10%
1112,MIA,18,Wade-Battier-James-Haslem-Bosh,.468,.460,+5,13%,24%,48.5%,+4%
1112,MIA,19,Cole-Battier-James-Haslem-Anthony,.412,.357,0,27%,36%,55.0%,+9%
1112,MIA,20,Cole-Battier-James-Haslem-Bosh,.400,.435,+7,38%,33%,54.0%,+4%
