Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1213,CHA,1,Walker-Henderson-Kidd-Gilchrist-McRoberts-Biyombo,.483,.466,+1,35%,36%,50.5%,-2%
1213,CHA,2,Walker-Henderson-Kidd-Gilchrist-Mullens-Biyombo,.418,.479,+14,34%,36%,50.0%,-1%
1213,CHA,3,Walker-Taylor-Kidd-Gilchrist-Mullens-Haywood,.435,.407,-8,38%,33%,49.5%,-5%
1213,CHA,4,Walker-Henderson-Kidd-Gilchrist-Warrick-Biyombo,.451,.478,+7,37%,45%,43.5%,0%
1213,CHA,5,Walker-Sessions-Henderson-Mullens-Biyombo,.378,.433,+26,34%,27%,50.5%,+6%
1213,CHA,6,Sessions-Gordon-Taylor-Adrien-Haywood,.415,.422,+4,28%,28%,51.0%,+1%
1213,CHA,7,Walker-Henderson-Kidd-Gilchrist-Adrien-Biyombo,.442,.455,-4,31%,39%,58.0%,0%
1213,CHA,8,Walker-Gordon-Henderson-McRoberts-Biyombo,.443,.508,+14,25%,45%,44.5%,-5%
1213,CHA,9,Walker-Taylor-Kidd-Gilchrist-Mullens-Biyombo,.382,.543,+6,29%,45%,50.5%,0%
1213,CHA,10,Walker-Sessions-Kidd-Gilchrist-Mullens-Haywood,.373,.417,+9,39%,25%,60.0%,0%
1213,CHA,11,Walker-Sessions-Kidd-Gilchrist-Mullens-Biyombo,.493,.468,+5,57%,39%,50.5%,+5%
1213,CHA,12,Walker-Sessions-Henderson-Kidd-Gilchrist-Biyombo,.442,.500,+17,46%,37%,50.5%,+4%
1213,CHA,13,Walker-Sessions-Henderson-Warrick-Biyombo,.362,.531,-11,38%,22%,49.0%,-15%
1213,CHA,14,Walker-Henderson-Kidd-Gilchrist-Mullens-Haywood,.433,.455,+5,42%,40%,54.5%,+4%
1213,CHA,15,Walker-Taylor-Kidd-Gilchrist-Thomas-Biyombo,.386,.453,+10,39%,30%,53.0%,+14%
1213,CHA,16,Sessions-Gordon-Taylor-Mullens-Biyombo,.418,.517,+2,38%,47%,44.5%,+4%
1213,CHA,17,Walker-Henderson-Taylor-Warrick-Biyombo,.442,.422,0,25%,31%,50.5%,+7%
1213,CHA,18,Sessions-Gordon-Taylor-Mullens-Haywood,.404,.596,+6,29%,31%,57.5%,-9%
1213,CHA,19,Walker-Gordon-Henderson-Mullens-Biyombo,.451,.548,-3,43%,33%,53.0%,+4%
1213,CHA,20,Walker-Sessions-Taylor-Mullens-Haywood,.548,.412,-2,33%,35%,39.5%,+3%
