Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1314,ATL,1,Teague-Korver-Carroll-Millsap-Horford,.493,.461,+9,29%,31%,47.0%,0%
1314,ATL,2,Teague-Korver-Carroll-Millsap-Antic,.426,.447,-22,24%,33%,49.5%,+2%
1314,ATL,3,Teague-Korver-Carroll-Millsap-Brand,.486,.451,-4,23%,27%,52.5%,-2%
1314,ATL,4,Teague-Korver-Carroll-Millsap-Ayon,.478,.472,+7,35%,36%,46.5%,+4%
1314,ATL,5,Teague-Mack-Carroll-Millsap-Antic,.426,.472,-1,32%,24%,51.5%,-1%
1314,ATL,6,Teague-Williams-Korver-Millsap-Brand,.471,.516,+24,31%,25%,47.5%,-5%
1314,ATL,7,Teague-Williams-Carroll-Millsap-Brand,.484,.444,+19,25%,33%,45.5%,+3%
1314,ATL,8,Williams-Mack-Carroll-Scott-Brand,.459,.481,-19,26%,38%,44.5%,0%
1314,ATL,9,Teague-Korver-Carroll-Scott-Brand,.500,.549,-8,27%,37%,45.0%,+7%
1314,ATL,10,Williams-Mack-Korver-Scott-Brand,.536,.527,-16,16%,31%,47.0%,-3%
1314,ATL,11,Teague-Williams-Carroll-Scott-Brand,.544,.404,+19,25%,24%,38.5%,-5%
1314,ATL,12,Teague-Martin-Carroll-Millsap-Horford,.386,.410,+3,29%,35%,50.0%,-4%
1314,ATL,13,Teague-Mack-Korver-Carroll-Brand,.446,.387,+7,16%,23%,46.0%,+5%
1314,ATL,14,Teague-Williams-Carroll-Millsap-Horford,.402,.460,-2,33%,35%,55.0%,+12%
1314,ATL,15,Teague-Williams-Korver-Millsap-Horford,.480,.493,+2,25%,41%,46.5%,+2%
1314,ATL,16,Teague-Korver-Carroll-Scott-Millsap,.443,.542,-8,38%,29%,48.0%,-3%
1314,ATL,17,Teague-Williams-Korver-Millsap-Antic,.400,.516,+8,28%,34%,44.5%,-3%
1314,ATL,18,Schroder-Mack-Martin-Scott-Brand,.400,.476,-4,18%,22%,41.5%,+1%
1314,ATL,19,Teague-Korver-Carroll-Scott-Antic,.444,.396,-5,35%,30%,47.0%,+12%
1314,ATL,20,Teague-Korver-Carroll-Horford-Ayon,.429,.350,+5,44%,37%,56.0%,-1%
