Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1314,CHA,1,Walker-Henderson-Kidd-Gilchrist-McRoberts-Jefferson,.484,.435,+74,32%,28%,52.5%,+1%
1314,CHA,2,Walker-Henderson-Tolliver-McRoberts-Jefferson,.448,.451,+7,31%,26%,46.0%,+4%
1314,CHA,3,Sessions-Henderson-Kidd-Gilchrist-McRoberts-Jefferson,.478,.422,+48,37%,31%,45.5%,-1%
1314,CHA,4,Walker-Henderson-Douglas-Roberts-McRoberts-Jefferson,.458,.485,+7,26%,30%,46.5%,+6%
1314,CHA,5,Walker-Henderson-Kidd-Gilchrist-Zeller-Jefferson,.424,.391,+22,32%,32%,50.0%,+1%
1314,CHA,6,Walker-Henderson-Kidd-Gilchrist-McRoberts-Biyombo,.381,.405,+3,33%,30%,49.5%,0%
1314,CHA,7,Walker-Henderson-Taylor-McRoberts-Jefferson,.430,.455,+2,31%,32%,46.0%,+8%
1314,CHA,8,Walker-Sessions-Tolliver-Zeller-Jefferson,.512,.450,+7,38%,23%,57.0%,+8%
1314,CHA,9,Walker-Henderson-Tolliver-Zeller-Jefferson,.438,.530,+1,25%,31%,48.0%,+2%
1314,CHA,10,Walker-Douglas-Roberts-Kidd-Gilchrist-McRoberts-Jefferson,.519,.429,+1,32%,29%,43.0%,+10%
1314,CHA,11,Sessions-Henderson-Tolliver-McRoberts-Jefferson,.506,.427,+1,35%,28%,51.0%,-5%
1314,CHA,12,Walker-Sessions-Henderson-McRoberts-Jefferson,.500,.398,+11,33%,26%,53.5%,+4%
1314,CHA,13,Walker-Sessions-Taylor-Zeller-Biyombo,.446,.390,+14,35%,30%,55.5%,+4%
1314,CHA,14,Ridnour-Neal-Douglas-Roberts-Zeller-Jefferson,.479,.470,+2,30%,39%,36.5%,0%
1314,CHA,15,Walker-Neal-Douglas-Roberts-Zeller-Jefferson,.403,.535,+15,32%,37%,58.5%,+1%
1314,CHA,16,Walker-Henderson-Douglas-Roberts-Zeller-Jefferson,.387,.414,+7,32%,36%,50.5%,-3%
1314,CHA,17,Walker-Henderson-Neal-McRoberts-Jefferson,.429,.419,-16,17%,21%,44.5%,-4%
1314,CHA,18,Walker-Henderson-Taylor-McRoberts-Biyombo,.400,.441,+1,25%,22%,49.5%,+2%
1314,CHA,19,Sessions-Taylor-Kidd-Gilchrist-Zeller-Jefferson,.424,.448,+12,47%,27%,53.5%,0%
1314,CHA,20,Walker-Sessions-Taylor-Adrien-Zeller,.383,.397,+3,25%,24%,50.0%,+1%
