Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1415,NOP,1,Gordon-Pondexter-Evans-Davis-Asik,.486,.462,+8,41%,33%,52.0%,-2%
1415,NOP,2,Gordon-Evans-Cunningham-Davis-Asik,.482,.442,+18,40%,34%,55.0%,-2%
1415,NOP,3,Holiday-Evans-Babbitt-Davis-Asik,.456,.477,+8,38%,32%,55.0%,-2%
1415,NOP,4,Holiday-Gordon-Evans-Davis-Asik,.477,.445,-7,42%,34%,54.0%,+4%
1415,NOP,5,Gordon-Pondexter-Evans-Cunningham-Asik,.429,.467,+20,34%,31%,52.0%,-3%
1415,NOP,6,Holiday-Gordon-Evans-Anderson-Davis,.482,.489,-7,42%,36%,45.0%,+6%
1415,NOP,7,Gordon-Evans-Anderson-Cunningham-Asik,.388,.528,+3,47%,28%,54.5%,-11%
1415,NOP,8,Gordon-Pondexter-Evans-Anderson-Davis,.508,.492,+9,33%,41%,43.5%,+1%
1415,NOP,9,Holiday-Rivers-Evans-Anderson-Davis,.491,.454,-1,51%,37%,54.5%,+2%
1415,NOP,10,Holiday-Evans-Anderson-Cunningham-Davis,.520,.489,+7,43%,38%,50.0%,+1%
1415,NOP,11,Holiday-Rivers-Evans-Davis-Asik,.419,.500,-3,38%,28%,50.0%,0%
1415,NOP,12,Holiday-Evans-Cunningham-Davis-Asik,.600,.471,+4,25%,45%,54.0%,-9%
1415,NOP,13,Holiday-Rivers-Anderson-Cunningham-Davis,.481,.507,+4,30%,39%,55.5%,+9%
1415,NOP,14,Cole-Gordon-Pondexter-Davis-Asik,.432,.405,+6,31%,39%,47.5%,0%
1415,NOP,15,Cole-Douglas-Anderson-Cunningham-Ajinca,.408,.453,-1,28%,28%,43.0%,+4%
1415,NOP,16,Holiday-Gordon-Evans-Davis-Ajinca,.507,.446,-9,32%,31%,43.0%,+10%
1415,NOP,17,Holiday-Evans-Babbitt-Anderson-Asik,.471,.486,+9,41%,35%,49.0%,+2%
1415,NOP,18,Rivers-Evans-Anderson-Cunningham-Davis,.443,.536,-1,46%,41%,58.5%,-1%
1415,NOP,19,Gordon-Evans-Anderson-Cunningham-Davis,.362,.500,-8,28%,44%,40.0%,-3%
1415,NOP,20,Holiday-Evans-Anderson-Davis-Asik,.429,.418,+13,46%,36%,51.5%,-1%
