Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1415,POR,1,Lillard-Matthews-Batum-Aldridge-Lopez,.454,.429,+47,27%,31%,51.5%,0%
1415,POR,2,Lillard-Afflalo-Batum-Aldridge-Lopez,.469,.477,+29,26%,32%,50.0%,-7%
1415,POR,3,Lillard-Matthews-Batum-Aldridge-Kaman,.425,.450,-12,26%,26%,48.0%,+2%
1415,POR,4,Blake-Lillard-Batum-Aldridge-Kaman,.481,.466,-4,27%,34%,49.0%,-7%
1415,POR,5,Lillard-McCollum-Batum-Aldridge-Kaman,.500,.460,-3,39%,23%,54.5%,+2%
1415,POR,6,Lillard-Matthews-Batum-Robinson-Aldridge,.426,.458,+10,34%,32%,55.0%,+4%
1415,POR,7,Lillard-Matthews-Crabbe-Aldridge-Lopez,.485,.469,+2,25%,26%,55.0%,-6%
1415,POR,8,Blake-Matthews-Crabbe-Aldridge-Kaman,.389,.471,-17,25%,26%,53.0%,-7%
1415,POR,9,Lillard-Matthews-Batum-Aldridge-Leonard,.448,.371,0,28%,31%,49.0%,-4%
1415,POR,10,Blake-Matthews-Crabbe-Freeland-Kaman,.494,.415,-4,25%,30%,42.0%,-3%
1415,POR,11,Lillard-Matthews-Batum-Freeland-Aldridge,.447,.372,-6,22%,45%,50.0%,+3%
1415,POR,12,Blake-Lillard-Batum-Aldridge-Lopez,.410,.449,+7,21%,33%,46.0%,0%
1415,POR,13,Lillard-McCollum-Batum-Lopez-Leonard,.481,.378,-1,34%,29%,57.0%,-4%
1415,POR,14,Blake-Lillard-Batum-Aldridge-Leonard,.648,.475,-9,26%,24%,53.0%,-5%
1415,POR,15,Blake-McCollum-Wright-Aldridge-Kaman,.439,.417,+8,23%,30%,57.5%,+8%
1415,POR,16,Lillard-McCollum-Batum-Aldridge-Lopez,.480,.510,-8,32%,43%,53.5%,-11%
1415,POR,17,Lillard-Afflalo-Batum-Aldridge-Kaman,.417,.407,+7,30%,30%,54.0%,+10%
1415,POR,18,Blake-Lillard-Matthews-Aldridge-Kaman,.548,.622,+3,33%,31%,52.0%,-10%
1415,POR,19,Blake-Matthews-Batum-Aldridge-Lopez,.480,.482,+3,26%,36%,46.5%,+3%
1415,POR,20,Blake-McCollum-Batum-Aldridge-Kaman,.549,.314,-7,24%,31%,55.5%,-5%
