Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1516,BOS,1,Thomas-Bradley-Crowder-Johnson-Sullinger,.450,.450,-24,26%,28%,48.0%,+3%
1516,BOS,2,Smart-Bradley-Turner-Jerebko-Olynyk,.490,.460,+8,25%,23%,51.5%,+11%
1516,BOS,3,Thomas-Bradley-Turner-Johnson-Sullinger,.480,.440,+30,30%,24%,57.0%,+3%
1516,BOS,4,Smart-Bradley-Turner-Jerebko-Zeller,.440,.440,-2,28%,23%,51.0%,+1%
1516,BOS,5,Thomas-Bradley-Crowder-Sullinger-Olynyk,.470,.410,-9,32%,22%,50.0%,+7%
1516,BOS,6,Thomas-Smart-Crowder-Johnson-Sullinger,.450,.420,-5,29%,32%,51.0%,+5%
1516,BOS,7,Thomas-Turner-Crowder-Johnson-Olynyk,.400,.460,-5,42%,30%,46.5%,+11%
1516,BOS,8,Thomas-Bradley-Turner-Crowder-Sullinger,.420,.420,+31,25%,24%,50.0%,+7%
1516,BOS,9,Thomas-Smart-Bradley-Crowder-Sullinger,.490,.520,-12,36%,24%,46.5%,+12%
1516,BOS,10,Thomas-Smart-Bradley-Johnson-Sullinger,.430,.470,-2,30%,25%,54.5%,+1%
1516,BOS,11,Thomas-Turner-Crowder-Johnson-Sullinger,.450,.480,-2,23%,28%,52.0%,-3%
1516,BOS,12,Thomas-Smart-Turner-Crowder-Johnson,.430,.480,-2,37%,26%,51.0%,+2%
1516,BOS,13,Thomas-Bradley-Crowder-Johnson-Olynyk,.500,.400,-16,23%,33%,42.5%,+4%
1516,BOS,14,Thomas-Smart-Turner-Crowder-Sullinger,.380,.480,-1,31%,31%,54.5%,+3%
1516,BOS,15,Thomas-Smart-Bradley-Crowder-Johnson,.480,.380,-6,41%,31%,44.0%,+2%
1516,BOS,16,Smart-Bradley-Turner-Olynyk-Zeller,.480,.470,+5,31%,36%,46.5%,+9%
1516,BOS,17,Thomas-Smart-Turner-Jerebko-Olynyk,.390,.360,-2,34%,22%,51.5%,-2%
1516,BOS,18,Thomas-Bradley-Turner-Crowder-Johnson,.400,.410,-10,31%,24%,50.0%,+5%
1516,BOS,19,Thomas-Smart-Turner-Crowder-Zeller,.450,.530,-3,32%,24%,41.5%,+5%
1516,BOS,20,Thomas-Bradley-Turner-Johnson-Olynyk,.520,.380,-5,38%,26%,42.5%,+5%
