Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1516,IND,1,G.Hill-Ellis-George-Turner-Mahinmi,.450,.430,+35,25%,26%,47.5%,+3%
1516,IND,2,G.Hill-Ellis-Miles-George-Mahinmi,.460,.480,+5,24%,27%,42.0%,+4%
1516,IND,3,G.Hill-Ellis-George-Allen-Mahinmi,.460,.420,+30,25%,24%,53.0%,-3%
1516,IND,4,G.Hill-Ellis-George-J.Hill-Turner,.480,.480,-37,22%,29%,47.0%,0%
1516,IND,5,G.Hill-Ellis-S.Hill-George-Mahinmi,.480,.400,+2,26%,21%,55.0%,+6%
1516,IND,6,G.Hill-Stuckey-Budinger-J.Hill-Allen,.510,.450,-2,35%,29%,56.5%,+2%
1516,IND,7,G.Hill-Ellis-George-J.Hill-Allen,.430,.400,-7,16%,27%,56.0%,+2%
1516,IND,8,Ellis-Stuckey-George-J.Hill-Allen,.450,.410,+16,26%,22%,52.5%,+2%
1516,IND,9,Ellis-Stuckey-Miles-George-J.Hill,.480,.470,+11,27%,33%,45.0%,-3%
1516,IND,10,G.Hill-Ellis-Miles-George-J.Hill,.420,.400,+8,14%,25%,50.5%,+5%
1516,IND,11,G.Hill-Ellis-George-J.Hill-Mahinmi,.370,.440,-3,23%,26%,48.0%,0%
1516,IND,12,Lawson-Stuckey-Miles-S.Hill-Turner,.510,.370,-4,27%,23%,46.5%,+5%
1516,IND,13,Ellis-Stuckey-George-Allen-Mahinmi,.520,.410,+10,33%,20%,51.0%,-5%
1516,IND,14,Ellis-Miles-Budinger-George-Mahinmi,.470,.460,0,31%,28%,48.5%,+7%
1516,IND,15,G.Hill-Stuckey-George-J.Hill-Allen,.380,.390,+2,27%,30%,49.0%,-1%
1516,IND,16,G.Hill-Ellis-George-Allen-Turner,.370,.460,-7,25%,22%,42.0%,+9%
1516,IND,17,Ellis-Stuckey-Miles-George-Mahinmi,.420,.450,+5,26%,26%,42.0%,-2%
1516,IND,18,G.Hill-Stuckey-Miles-Budinger-J.Hill,.460,.480,+6,23%,28%,52.5%,-3%
1516,IND,19,Lawson-Stuckey-Miles-J.Hill-Allen,.440,.460,-6,22%,39%,48.0%,-10%
1516,IND,20,Ellis-RobinsonIII-George-Allen-Mahinmi,.490,.430,-5,24%,27%,60.0%,+9%
