Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1617,TOR,1,Lowry-DeRozan-Carroll-Siakam-Valanciunas,.470,.520,-9,22%,27%,50.0%,-1%
1617,TOR,2,Joseph-DeRozan-Carroll-Ibaka-Valanciunas,.470,.430,-6,23%,22%,51.5%,-3%
1617,TOR,3,Lowry-Joseph-Ross-Patterson-Nogueira,.490,.470,+9,24%,25%,50.5%,+3%
1617,TOR,4,Lowry-DeRozan-Carroll-Patterson-Valanciunas,.510,.420,+42,25%,25%,53.0%,+2%
1617,TOR,5,Lowry-DeRozan-Carroll-Nogueira-Valanciunas,.480,.430,+8,24%,21%,54.5%,+3%
1617,TOR,6,Joseph-DeRozan-Ross-Patterson-Nogueira,.420,.440,+29,18%,27%,46.0%,+5%
1617,TOR,7,Joseph-DeRozan-Tucker-Ibaka-Valanciunas,.490,.490,-4,24%,31%,51.5%,+2%
1617,TOR,8,Lowry-Powell-DeRozan-Siakam-Valanciunas,.500,.510,+4,22%,25%,40.0%,+7%
1617,TOR,9,Wright-Powell-Tucker-Patterson-Poeltl,.340,.500,+5,40%,30%,57.5%,+5%
1617,TOR,10,Lowry-Powell-Carroll-Patterson-Valanciunas,.550,.460,+8,36%,20%,52.5%,+3%
1617,TOR,11,Lowry-Powell-DeRozan-Carroll-Valanciunas,.490,.510,+9,30%,27%,44.5%,-2%
1617,TOR,12,Lowry-DeRozan-Ross-Patterson-Valanciunas,.530,.440,+17,22%,20%,43.0%,+6%
1617,TOR,13,Joseph-Powell-DeRozan-Ibaka-Valanciunas,.470,.530,-3,26%,20%,64.0%,-5%
1617,TOR,14,Lowry-Powell-DeRozan-Patterson-Valanciunas,.470,.410,+3,18%,26%,51.5%,0%
1617,TOR,15,Joseph-DeRozan-Carroll-Siakam-Valanciunas,.420,.480,-1,25%,39%,54.0%,0%
1617,TOR,16,Lowry-Joseph-Ross-Patterson-Poeltl,.400,.490,-6,22%,21%,52.5%,+1%
1617,TOR,17,Lowry-DeRozan-Carroll-Ibaka-Valanciunas,.390,.490,+1,26%,39%,48.0%,-7%
1617,TOR,18,Lowry-DeRozan-Ross-Carroll-Valanciunas,.490,.490,+13,30%,19%,42.0%,+6%
1617,TOR,19,Lowry-Joseph-Powell-Ross-Nogueira,.480,.500,-5,21%,21%,39.0%,+4%
1617,TOR,20,Joseph-Powell-DeRozan-Tucker-Ibaka,.510,.360,0,23%,26%,48.5%,-2%
