Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1718,LAC,1,L.Williams-Rivers-Thornwell-Harris-Jordan,.510,.460,+21,40%,39%,52.5%,0%
1718,LAC,2,Beverley-Rivers-Gallinari-Griffin-Jordan,.460,.450,+44,38%,26%,53.0%,0%
1718,LAC,3,L.Williams-Rivers-W.Johnson-Griffin-Jordan,.460,.480,-9,31%,36%,51.5%,-8%
1718,LAC,4,L.Williams-Teodosic-Rivers-Harris-Jordan,.470,.530,+26,38%,35%,44.0%,-1%
1718,LAC,5,Teodosic-Rivers-W.Johnson-Harris-Jordan,.430,.450,-6,35%,37%,51.0%,+2%
1718,LAC,6,Rivers-Thornwell-W.Johnson-Griffin-Jordan,.440,.480,-4,35%,31%,55.0%,+2%
1718,LAC,7,L.Williams-Teodosic-Thornwell-Dekker-Harrell,.510,.460,+15,50%,34%,45.5%,-1%
1718,LAC,8,Bradley-Rivers-Harris-Gallinari-Jordan,.450,.380,-6,33%,31%,53.5%,+1%
1718,LAC,9,Teodosic-Rivers-Thornwell-Harris-Jordan,.390,.410,+5,44%,38%,46.0%,-2%
1718,LAC,10,L.Williams-Teodosic-Wallace-Griffin-Reed,.510,.500,+6,31%,49%,45.5%,-6%
1718,LAC,11,Teodosic-Rivers-C.Williams-Wilson-Jordan,.520,.390,+3,32%,32%,47.0%,-4%
1718,LAC,12,Rivers-Wallace-W.Johnson-Harris-Jordan,.480,.490,+10,32%,34%,50.0%,+1%
1718,LAC,13,Beverley-Rivers-W.Johnson-Griffin-Jordan,.530,.530,+1,34%,20%,50.5%,-1%
1718,LAC,14,L.Williams-Rivers-Wallace-Harris-Jordan,.540,.530,-1,35%,33%,46.0%,-7%
1718,LAC,15,L.Williams-Rivers-Harris-Gallinari-Jordan,.360,.540,+13,30%,30%,56.0%,-4%
1718,LAC,16,Evans-L.Williams-Thornwell-Dekker-Harrell,.440,.410,+22,51%,31%,50.0%,+3%
1718,LAC,17,L.Williams-Wallace-W.Johnson-Griffin-Jordan,.520,.370,+15,44%,28%,52.5%,-2%
1718,LAC,18,L.Williams-Rivers-Thornwell-Harris-Harrell,.530,.480,-5,57%,32%,51.0%,+10%
1718,LAC,19,L.Williams-Rivers-W.Johnson-Harris-Jordan,.540,.530,+3,35%,37%,54.5%,0%
1718,LAC,20,Evans-L.Williams-C.Williams-W.Johnson-Jordan,.490,.490,-7,29%,34%,52.0%,-1%
