Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1819,CHI,1,Arcidiacono-LaVine-Holiday-Parker-CarterJr.,.440,.450,-4,36%,29%,47.0%,0%
1819,CHI,2,Dunn-LaVine-PorterJr.-Markkanen-Lopez,.480,.510,+7,40%,33%,50.5%,-1%
1819,CHI,3,Arcidiacono-Dunn-Holiday-CarterJr.-Markkanen,.440,.450,-11,29%,35%,46.5%,+4%
1819,CHI,4,Payne-LaVine-Holiday-Parker-CarterJr.,.430,.470,-17,36%,34%,47.0%,-3%
1819,CHI,5,Dunn-LaVine-Selden-Markkanen-Lopez,.420,.390,+5,39%,30%,51.0%,-8%
1819,CHI,6,Dunn-LaVine-Hutchison-CarterJr.-Markkanen,.420,.520,-1,38%,38%,50.5%,-5%
1819,CHI,7,Arcidiacono-LaVine-Holiday-CarterJr.-Markkanen,.410,.480,-5,31%,39%,48.0%,-2%
1819,CHI,8,Dunn-LaVine-Holiday-CarterJr.-Markkanen,.430,.410,-22,34%,39%,44.5%,-4%
1819,CHI,9,Dunn-LaVine-Hutchison-Portis-Markkanen,.390,.540,-8,41%,38%,54.5%,+3%
1819,CHI,10,Arcidiacono-LaVine-PorterJr.-Markkanen-Lopez,.630,.370,+19,42%,37%,56.5%,-5%
1819,CHI,11,Dunn-Harrison-LaVine-Markkanen-Lopez,.590,.460,-12,39%,32%,52.5%,-5%
1819,CHI,12,Payne-LaVine-Holiday-Hutchison-CarterJr.,.390,.500,+8,40%,32%,46.0%,+6%
1819,CHI,13,Dunn-LaVine-Hutchison-Markkanen-Lopez,.440,.400,+4,42%,29%,50.5%,0%
1819,CHI,14,Payne-LaVine-Holiday-CarterJr.-Portis,.420,.400,-22,30%,30%,47.5%,-6%
1819,CHI,15,Arcidiacono-LaVine-Holiday-Parker-Lopez,.460,.440,-3,30%,29%,43.5%,+1%
1819,CHI,16,Arcidiacono-Harrison-Luwawu-Cabarrot-Selden-Felicio,.420,.420,-8,42%,42%,53.0%,+4%
1819,CHI,17,Dunn-Harrison-Blakeney-Markkanen-Lopez,.400,.410,-1,37%,37%,47.5%,+2%
1819,CHI,18,Arcidiacono-LaVine-Selden-Markkanen-Lopez,.410,.550,-5,36%,43%,49.0%,-5%
1819,CHI,19,Arcidiacono-Harrison-Luwawu-Cabarrot-Selden-Lopez,.380,.620,-3,42%,42%,47.5%,+4%
1819,CHI,20,Payne-Harrison-Blakeney-Hutchison-Felicio,.400,.450,+10,45%,45%,43.0%,+4%
