Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1819,GSW,1,Curry-Thompson-Looney-Durant-Green,.520,.430,-49,28%,30%,50.0%,0%
1819,GSW,2,Curry-Thompson-Durant-Green-Cousins,.520,.420,+5,35%,34%,45.0%,0%
1819,GSW,3,Curry-Thompson-Iguodala-Durant-Green,.550,.430,+17,28%,31%,43.5%,+4%
1819,GSW,4,Curry-Thompson-Durant-Green-Jones,.570,.460,-25,30%,30%,46.0%,-2%
1819,GSW,5,Curry-Thompson-Iguodala-Looney-Durant,.520,.460,-22,36%,34%,46.5%,0%
1819,GSW,6,Curry-Thompson-Durant-Green-Bogut,.540,.450,-14,26%,31%,45.0%,-2%
1819,GSW,7,Cook-Thompson-Iguodala-Durant-Jones,.490,.470,-2,16%,39%,39.0%,-4%
1819,GSW,8,Livingston-Thompson-Iguodala-Green-Cousins,.530,.410,-8,44%,34%,44.0%,0%
1819,GSW,9,Curry-Livingston-Iguodala-Jerebko-Green,.450,.470,+5,28%,33%,48.5%,0%
1819,GSW,10,Curry-Iguodala-McKinnie-Looney-Durant,.490,.440,+3,33%,30%,55.0%,-3%
1819,GSW,11,Thompson-Iguodala-Looney-Durant-Jerebko,.390,.440,+2,27%,27%,59.5%,-1%
1819,GSW,12,Curry-Thompson-Durant-Jerebko-Green,.500,.540,+9,35%,31%,51.0%,0%
1819,GSW,13,Cook-Livingston-Thompson-Iguodala-Cousins,.520,.440,+2,44%,38%,53.0%,-5%
1819,GSW,14,Cook-Evans-McKinnie-Jerebko-Bell,.460,.460,-21,27%,37%,49.0%,-6%
1819,GSW,15,Curry-Thompson-Iguodala-Durant-Bell,.570,.370,-1,28%,29%,41.0%,+10%
1819,GSW,16,Cook-Thompson-Iguodala-Looney-Durant,.540,.410,-11,22%,47%,51.5%,-1%
1819,GSW,17,Curry-McKinnie-Durant-Green-Cousins,.440,.530,-8,37%,29%,44.5%,+8%
1819,GSW,18,Livingston-Lee-Thompson-Looney-Jerebko,.510,.440,-9,27%,35%,52.0%,-7%
1819,GSW,19,Cook-Thompson-Durant-Jerebko-Jones,.440,.530,-4,25%,36%,56.5%,+9%
1819,GSW,20,Curry-Thompson-Iguodala-Green-Cousins,.550,.390,+5,31%,19%,52.5%,+2%
