Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1819,PHO,1,Melton-Booker-Bridges-Warren-Ayton,.470,.560,-30,30%,41%,48.5%,+2%
1819,PHO,2,Canaan-Booker-Ariza-Warren-Ayton,.440,.560,+2,29%,46%,46.5%,-4%
1819,PHO,3,Canaan-Booker-Ariza-Anderson-Ayton,.490,.470,+7,41%,48%,48.5%,-6%
1819,PHO,4,T.Johnson-Booker-OubreJr.-Bender-Ayton,.430,.460,-5,28%,44%,47.0%,+1%
1819,PHO,5,T.Johnson-Booker-OubreJr.-Bridges-Ayton,.490,.470,+14,30%,41%,46.0%,+2%
1819,PHO,6,Booker-Bridges-Ariza-Warren-Ayton,.500,.460,-20,30%,42%,41.0%,+5%
1819,PHO,7,T.Johnson-Booker-OubreJr.-Jackson-Ayton,.470,.450,-7,39%,43%,46.5%,+6%
1819,PHO,8,Melton-Booker-Bridges-Bender-Ayton,.560,.500,-3,34%,40%,48.0%,-5%
1819,PHO,9,Melton-Bridges-Jackson-Warren-Ayton,.440,.440,-11,26%,32%,46.5%,+10%
1819,PHO,10,T.Johnson-Booker-Bridges-Jackson-Ayton,.430,.500,-4,42%,45%,52.0%,0%
1819,PHO,11,Crawford-Booker-Bridges-Warren-Ayton,.480,.420,-2,37%,51%,54.5%,0%
1819,PHO,12,Booker-OubreJr.-Bridges-Warren-Ayton,.490,.400,+7,27%,34%,50.0%,-5%
1819,PHO,13,Crawford-OubreJr.-Bridges-Jackson-Holmes,.460,.520,+3,28%,48%,45.0%,+9%
1819,PHO,14,Canaan-Booker-Bridges-Warren-Ayton,.550,.580,-1,33%,36%,40.5%,+7%
1819,PHO,15,Crawford-Booker-Bridges-Jackson-Holmes,.460,.370,+8,36%,37%,47.0%,-7%
1819,PHO,16,Okobo-Bridges-Jackson-Spalding-Bender,.530,.420,-7,33%,28%,44.0%,-1%
1819,PHO,17,Melton-Bridges-Ariza-Jackson-Ayton,.520,.530,+3,35%,43%,51.5%,-7%
1819,PHO,18,Okobo-Booker-Bridges-Jackson-Holmes,.460,.480,-4,29%,41%,33.0%,-6%
1819,PHO,19,Booker-OubreJr.-Bridges-Jackson-Ayton,.460,.470,-10,42%,30%,50.0%,0%
1819,PHO,20,Crawford-Booker-Bridges-Jackson-Ayton,.420,.550,-2,33%,32%,49.0%,+1%
