Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1920,MEM,1,Morant-D.Brooks-Crowder-JacksonJr.-Valanciunas,.480,.460,-6,40%,27%,52.5%,-2%
1920,MEM,2,Morant-D.Brooks-Anderson-JacksonJr.-Valanciunas,.450,.420,-22,36%,29%,50.0%,-7%
1920,MEM,3,Melton-Morant-D.Brooks-Anderson-Valanciunas,.470,.410,+10,29%,26%,53.0%,-3%
1920,MEM,4,Jones-Clarke-D.Brooks-Crowder-JacksonJr.,.400,.430,-19,27%,34%,47.0%,+3%
1920,MEM,5,Jones-D.Brooks-Crowder-JacksonJr.-Valanciunas,.420,.480,+1,28%,25%,52.0%,-1%
1920,MEM,6,Melton-Morant-Clarke-D.Brooks-JacksonJr.,.490,.440,-2,41%,33%,54.5%,+2%
1920,MEM,7,Morant-Clarke-D.Brooks-Crowder-Valanciunas,.490,.340,-8,41%,33%,52.0%,+5%
1920,MEM,8,Morant-D.Brooks-Crowder-Hill-JacksonJr.,.530,.480,+2,41%,32%,50.0%,-3%
1920,MEM,9,Morant-D.Brooks-Hill-Anderson-Valanciunas,.510,.470,-10,33%,27%,46.5%,-5%
1920,MEM,10,Jones-Melton-Clarke-Hill-Anderson,.500,.420,-4,25%,34%,42.5%,+3%
1920,MEM,11,Jones-Konchar-Jackson-Tolliver-Dieng,.510,.360,+1,23%,33%,48.5%,+9%
1920,MEM,12,Jones-Melton-Clarke-Anderson-JacksonJr.,.520,.430,+2,35%,33%,53.0%,+6%
1920,MEM,13,Morant-Allen-D.Brooks-Hill-Valanciunas,.480,.540,-7,39%,24%,51.5%,-6%
1920,MEM,14,Morant-Clarke-D.Brooks-Crowder-JacksonJr.,.370,.520,-11,32%,40%,52.0%,-9%
1920,MEM,15,Morant-D.Brooks-Anderson-Tolliver-Valanciunas,.490,.390,+1,23%,24%,54.0%,-6%
1920,MEM,16,Morant-D.Brooks-Crowder-Hill-Valanciunas,.420,.510,-1,32%,45%,40.0%,+2%
1920,MEM,17,Jones-Melton-Clarke-Crowder-JacksonJr.,.550,.470,-8,32%,33%,53.0%,0%
1920,MEM,18,Morant-Clarke-D.Brooks-Anderson-Valanciunas,.460,.440,-3,41%,20%,52.5%,-2%
1920,MEM,19,Morant-D.Brooks-Anderson-Jackson-Valanciunas,.560,.470,+12,32%,24%,55.0%,-1%
1920,MEM,20,Melton-Morant-Clarke-Crowder-JacksonJr.,.440,.390,-12,41%,37%,53.5%,+1%
