Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1920,MIL,1,Bledsoe-Matthews-Middleton-Antetokounmpo-B.Lopez,.480,.370,+44,35%,23%,47.0%,+3%
1920,MIL,2,Bledsoe-DiVincenzo-Matthews-Antetokounmpo-B.Lopez,.490,.430,+33,42%,29%,52.5%,-2%
1920,MIL,3,DiVincenzo-Matthews-Middleton-Antetokounmpo-B.Lopez,.440,.390,+17,39%,24%,50.0%,+2%
1920,MIL,4,Bledsoe-Matthews-Middleton-Ilyasova-B.Lopez,.480,.540,-13,32%,31%,50.5%,+3%
1920,MIL,5,Hill-Matthews-Middleton-Antetokounmpo-B.Lopez,.460,.430,+14,31%,23%,51.5%,-4%
1920,MIL,6,Hill-Connaughton-Korver-Ilyasova-R.Lopez,.530,.370,-8,42%,26%,49.0%,-7%
1920,MIL,7,Bledsoe-DiVincenzo-Middleton-Antetokounmpo-B.Lopez,.510,.390,+15,40%,34%,51.0%,+2%
1920,MIL,8,DiVincenzo-Matthews-Middleton-Ilyasova-B.Lopez,.490,.350,+2,28%,28%,47.5%,0%
1920,MIL,9,Hill-Connaughton-Brown-Ilyasova-R.Lopez,.370,.420,+12,34%,30%,48.5%,+2%
1920,MIL,10,Bledsoe-Korver-Middleton-Antetokounmpo-B.Lopez,.590,.510,+18,42%,42%,48.5%,-6%
1920,MIL,11,Bledsoe-Matthews-Middleton-Antetokounmpo-R.Lopez,.620,.320,+7,28%,34%,51.5%,-7%
1920,MIL,12,Hill-DiVincenzo-Connaughton-Ilyasova-R.Lopez,.370,.470,+6,29%,23%,56.5%,-1%
1920,MIL,13,Hill-Connaughton-Middleton-Ilyasova-R.Lopez,.470,.590,+4,20%,26%,57.5%,-3%
1920,MIL,14,Hill-Matthews-Middleton-Ilyasova-B.Lopez,.440,.420,-15,25%,19%,53.5%,+5%
1920,MIL,15,Bledsoe-Connaughton-Matthews-Middleton-B.Lopez,.390,.450,+7,24%,24%,53.0%,-7%
1920,MIL,16,Bledsoe-DiVincenzo-Matthews-Antetokounmpo-R.Lopez,.520,.330,+8,41%,29%,48.0%,0%
1920,MIL,17,Hill-Connaughton-Korver-Antetokounmpo-R.Lopez,.400,.410,+10,37%,37%,47.5%,-9%
1920,MIL,18,DiVincenzo-Korver-Middleton-Antetokounmpo-B.Lopez,.570,.530,+3,34%,32%,60.0%,+7%
1920,MIL,19,DiVincenzo-Connaughton-Korver-Antetokounmpo-R.Lopez,.360,.310,+5,30%,20%,48.0%,+9%
1920,MIL,20,Bledsoe-Matthews-Brown-Antetokounmpo-B.Lopez,.580,.420,+1,45%,26%,48.5%,-13%
