Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1920,MIN,1,Russell-Okogie-Beasley-Hernangomez-Reid,.460,.510,-20,33%,39%,48.0%,+1%
1920,MIN,2,Napier-Culver-Wiggins-Covington-Towns,.480,.500,-3,34%,32%,52.5%,-1%
1920,MIN,3,Napier-Culver-Wiggins-Covington-Dieng,.480,.480,-8,29%,38%,48.0%,+4%
1920,MIN,4,Napier-Okogie-Wiggins-Covington-Towns,.450,.510,+3,41%,40%,53.0%,-9%
1920,MIN,5,Graham-Culver-Wiggins-Covington-Towns,.460,.440,+12,45%,32%,55.5%,+1%
1920,MIN,6,Teague-Graham-Wiggins-Covington-Towns,.440,.540,-6,38%,41%,51.0%,0%
1920,MIN,7,Napier-Okogie-Wiggins-Covington-Dieng,.400,.480,+1,33%,32%,49.5%,+6%
1920,MIN,8,Russell-Okogie-Beasley-Hernangomez-J.Johnson,.440,.520,+3,33%,38%,48.5%,-3%
1920,MIN,9,Okogie-Culver-Wiggins-Covington-Towns,.470,.620,+6,38%,39%,54.5%,-2%
1920,MIN,10,Napier-Culver-Martin-Covington-Dieng,.460,.420,-9,32%,40%,56.5%,+3%
1920,MIN,11,Teague-Okogie-Wiggins-Covington-Towns,.490,.460,0,42%,30%,54.0%,+7%
1920,MIN,12,Teague-Graham-Wiggins-Covington-Dieng,.400,.430,+4,28%,35%,46.5%,-8%
1920,MIN,13,Teague-Okogie-Wiggins-Covington-Dieng,.430,.290,-10,27%,27%,52.5%,+1%
1920,MIN,14,Napier-Okogie-Culver-Layman-Vonleh,.370,.410,+17,37%,31%,46.5%,+15%
1920,MIN,15,McLaughlin-Okogie-Beasley-Hernangomez-J.Johnson,.530,.550,-4,50%,36%,42.0%,-4%
1920,MIN,16,Okogie-Graham-Wiggins-Covington-Towns,.430,.440,+5,34%,29%,47.5%,+10%
1920,MIN,17,Teague-Graham-Layman-Covington-Towns,.530,.450,0,39%,50%,44.0%,+2%
1920,MIN,18,McLaughlin-Okogie-Beasley-Hernangomez-Reid,.530,.530,+1,55%,50%,50.5%,-5%
1920,MIN,19,Teague-Okogie-Culver-Bates-Diop-Reid,.390,.570,+8,39%,51%,58.0%,-1%
1920,MIN,20,Teague-Okogie-Culver-Covington-Towns,.500,.570,-6,55%,43%,34.5%,+1%
