Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
2021,BKN,1,Irving-Harden-Brown-Harris-Jordan,.520,.450,-3,34%,30%,47.5%,-2%
2021,BKN,2,Irving-Harden-Harris-Green-Jordan,.530,.550,-1,36%,32%,45.0%,+1%
2021,BKN,3,Irving-Harden-Harris-Durant-Green,.550,.480,-7,31%,27%,51.0%,0%
2021,BKN,4,Irving-Shamet-Harris-Green-Jordan,.480,.460,+16,33%,30%,44.0%,-10%
2021,BKN,5,Irving-Harden-Harris-Durant-Jordan,.540,.420,+21,36%,21%,53.5%,-5%
2021,BKN,6,Irving-Harden-Brown-Harris-Green,.460,.570,+6,28%,40%,41.0%,+4%
2021,BKN,7,Irving-Harris-Durant-Green-Jordan,.520,.510,-3,37%,33%,41.0%,-4%
2021,BKN,8,Irving-Dinwiddie-Harris-Durant-Jordan,.520,.350,-2,33%,31%,52.5%,-2%
2021,BKN,9,Harden-Harris-Durant-Green-Jordan,.590,.460,-3,25%,28%,50.0%,-12%
2021,BKN,10,Irving-Luwawu-Cabarrot-Harris-Durant-Jordan,.450,.490,+2,16%,36%,44.5%,-3%
2021,BKN,11,Shamet-LeVert-Prince-Green-Allen,.400,.420,+8,26%,39%,44.0%,-12%
2021,BKN,12,Irving-Shamet-Harris-Green-Griffin,.540,.460,-7,32%,36%,41.0%,+2%
2021,BKN,13,Irving-Brown-Harris-Durant-Griffin,.600,.530,-8,26%,27%,49.5%,+2%
2021,BKN,14,Irving-Brown-Harris-Green-Aldridge,.440,.340,-1,36%,35%,42.0%,+12%
2021,BKN,15,Shamet-Harden-Brown-Harris-Jordan,.550,.490,+8,35%,22%,49.0%,+4%
2021,BKN,16,T.Johnson-Shamet-Harden-Green-Claxton,.450,.480,+8,37%,35%,41.5%,-3%
2021,BKN,17,T.Johnson-Harden-Harris-Green-Claxton,.470,.350,+6,36%,38%,55.5%,+8%
2021,BKN,18,Brown-LeVert-Prince-Green-Allen,.470,.470,+14,28%,24%,46.5%,+4%
2021,BKN,19,Harden-Brown-Harris-Green-Jordan,.400,.370,-1,40%,22%,63.5%,-8%
2021,BKN,20,Irving-Shamet-Brown-Durant-Griffin,.610,.470,-2,23%,30%,46.5%,0%
