Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
2021,DAL,1,Doncic-Richardson-Finney-Smith-Kleber-Porzingis,.510,.470,+24,23%,32%,51.0%,-1%
2021,DAL,2,Brunson-Richardson-HardawayJr.-Finney-Smith-Porzingis,.500,.430,+8,28%,22%,54.5%,0%
2021,DAL,3,Doncic-Richardson-HardawayJr.-Finney-Smith-Cauley-Stein,.520,.430,-12,26%,26%,50.5%,-2%
2021,DAL,4,Doncic-Richardson-HardawayJr.-Finney-Smith-Powell,.420,.490,-12,24%,31%,46.0%,+7%
2021,DAL,5,Doncic-Richardson-HardawayJr.-Finney-Smith-Porzingis,.450,.500,+9,24%,29%,41.5%,-2%
2021,DAL,6,Brunson-Doncic-HardawayJr.-Finney-Smith-Cauley-Stein,.560,.440,+7,22%,24%,49.5%,+6%
2021,DAL,7,Doncic-Richardson-HardawayJr.-Kleber-Porzingis,.510,.470,-5,17%,32%,46.5%,-5%
2021,DAL,8,Brunson-Doncic-HardawayJr.-Finney-Smith-Porzingis,.470,.630,-2,26%,33%,50.5%,-2%
2021,DAL,9,Doncic-Richardson-Finney-Smith-Kleber-Powell,.460,.500,+23,27%,34%,50.0%,+1%
2021,DAL,10,Brunson-Doncic-HardawayJr.-Kleber-Powell,.510,.420,+3,24%,33%,50.5%,+3%
2021,DAL,11,Brunson-Richardson-HardawayJr.-Finney-Smith-Powell,.470,.560,+7,23%,30%,51.5%,+4%
2021,DAL,12,Doncic-HardawayJr.-Finney-Smith-Powell-Porzingis,.520,.500,+4,28%,32%,43.0%,-1%
2021,DAL,13,Doncic-Richardson-Finney-Smith-Kleber-Cauley-Stein,.460,.440,+7,27%,34%,51.0%,-1%
2021,DAL,14,Brunson-Doncic-Richardson-Finney-Smith-Porzingis,.510,.490,-8,18%,44%,62.5%,-4%
2021,DAL,15,Brunson-Doncic-HardawayJr.-Kleber-Cauley-Stein,.430,.390,-1,24%,31%,46.5%,-7%
2021,DAL,16,Brunson-Richardson-HardawayJr.-Kleber-Porzingis,.310,.480,-8,20%,40%,44.0%,+1%
2021,DAL,17,Brunson-Richardson-Finney-Smith-Kleber-Porzingis,.460,.350,-2,26%,27%,60.0%,-2%
2021,DAL,18,Brunson-Doncic-HardawayJr.-Porzingis-Cauley-Stein,.410,.510,+14,39%,31%,50.5%,+3%
2021,DAL,19,Burke-Doncic-HardawayJr.-J.Johnson-Cauley-Stein,.540,.440,-6,28%,30%,53.0%,+8%
2021,DAL,20,Doncic-Richardson-HardawayJr.-Finney-Smith-Kleber,.490,.650,-7,32%,42%,43.0%,0%
