Year,Team,#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
2122,DEN,1,Morris-Barton-Jeff.Green-Gordon-Jokic,.530,.490,+60,38%,33%,50.5%,-1%
2122,DEN,2,Morris-Barton-Gordon-PorterJr.-Jokic,.510,.430,-9,32%,31%,51.0%,-4%
2122,DEN,3,Morris-Rivers-Jeff.Green-Gordon-Jokic,.530,.440,+51,41%,29%,50.5%,+1%
2122,DEN,4,Morris-Rivers-Barton-Gordon-Jokic,.490,.480,+15,34%,36%,52.5%,+2%
2122,DEN,5,Hyland-Rivers-Forbes-Ja.Green-Cousins,.480,.440,-24,28%,32%,53.0%,-3%
2122,DEN,6,Hyland-Barton-Jeff.Green-Gordon-Jokic,.470,.440,+6,30%,34%,48.5%,-6%
2122,DEN,7,Morris-Barton-Jeff.Green-Gordon-Ja.Green,.410,.550,-14,31%,35%,56.0%,+2%
2122,DEN,8,Hyland-Morris-Barton-Gordon-Jokic,.500,.470,+6,27%,35%,48.0%,-1%
2122,DEN,9,Morris-Barton-Gordon-Ja.Green-Jokic,.460,.490,-1,42%,35%,51.5%,-7%
2122,DEN,10,Morris-Reed-Barton-Jeff.Green-Jokic,.510,.490,+9,38%,30%,49.5%,-7%
2122,DEN,11,Campazzo-Rivers-Forbes-Ja.Green-Cousins,.510,.400,-5,36%,33%,63.0%,-3%
2122,DEN,12,Campazzo-Rivers-Barton-Gordon-Jokic,.400,.510,-1,30%,33%,51.0%,-12%
2122,DEN,13,Morris-Rivers-Barton-Jeff.Green-Jokic,.480,.490,0,38%,33%,43.5%,-6%
2122,DEN,14,Campazzo-Hyland-Rivers-Jeff.Green-Nnaji,.520,.480,-12,38%,39%,56.5%,-2%
2122,DEN,15,Campazzo-Morris-Jeff.Green-Gordon-Jokic,.550,.420,+3,29%,26%,47.5%,-16%
2122,DEN,16,Morris-Reed-Jeff.Green-Gordon-Jokic,.580,.340,+13,40%,24%,53.5%,0%
2122,DEN,17,Campazzo-Rivers-Dozier-Jeff.Green-Ja.Green,.380,.560,-1,31%,22%,37.5%,-2%
2122,DEN,18,Hyland-Rivers-Forbes-Ja.Green-Nnaji,.380,.440,-22,25%,38%,47.5%,+4%
2122,DEN,19,Morris-Barton-Dozier-Gordon-Jokic,.330,.350,-8,39%,38%,48.5%,-2%
2122,DEN,20,Campazzo-Morris-Barton-Gordon-Jokic,.360,.510,+2,32%,26%,43.5%,-5%
