Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0809,MIA,1,Chalmers-Wade-Marion-Haslem-Anthony,360,1.03,1.05,-23,9,16,36.0
0809,MIA,2,Chalmers-Wade-Moon-Haslem-O'Neal,285,1.09,1.11,-25,7,11,38.8
0809,MIA,3,Chalmers-Wade-Marion-Beasley-Haslem,282,1.02,1.01,-1,15,12,55.5
0809,MIA,4,Chalmers-Wade-Cook-Marion-Haslem,166,1.17,1.03,+50,15,12,55.5
0809,MIA,5,Chalmers-Wade-Cook-Beasley-Haslem,133,1.04,1.13,-22,8,18,30.7
0809,MIA,6,Chalmers-Wade-Marion-Haslem-Magloire,77,1.00,1.00,-5,6,6,50.0
0809,MIA,7,Chalmers-Wade-Diawara-Haslem-O'Neal,71,1.07,1.08,+2,3,3,50.0
0809,MIA,8,Quinn-Wade-Cook-Marion-Haslem,60,1.08,1.02,+24,6,6,50.0
0809,MIA,9,Quinn-Wade-Cook-Beasley-Haslem,57,1.17,1.11,+12,4,9,30.7
0809,MIA,10,Chalmers-Wade-Diawara-Beasley-Haslem,56,1.05,1.12,-7,4,5,44.4
0809,MIA,11,Quinn-Wade-Marion-Beasley-Haslem,54,1.15,1.03,+8,7,6,53.8
0809,MIA,12,Chalmers-Wade-Jones-Haslem-O'Neal,52,1.21,0.84,+37,5,0,100
0809,MIA,13,Chalmers-Wade-Diawara-Haslem-Magloire,51,0.88,1.00,-14,1,5,16.6
0809,MIA,14,Chalmers-Wade-Moon-Beasley-O'Neal,48,1.11,0.95,+15,9,3,75.0
0809,MIA,15,Wade-Cook-Moon-Beasley-Haslem,44,1.23,1.00,+25,6,4,60.0
0809,MIA,16,Chalmers-Wade-Cook-Haslem-Magloire,39,1.23,1.21,+5,4,4,50.0
0809,MIA,17,Chalmers-Wade-Cook-Beasley-Anthony,38,1.07,0.77,+27,9,5,64.2
0809,MIA,18,Chalmers-Wade-Cook-Haslem-Anthony,37,1.07,1.09,+2,8,6,57.1
0809,MIA,19,Chalmers-Wade-Diawara-Marion-Haslem,36,1.22,0.94,+17,6,4,60.0
0809,MIA,20,Chalmers-Wade-Diawara-Beasley-O'Neal,34,1.16,1.15,+2,1,3,25.0
