Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0809,ORL,1,Alston-Lee-Turkoglu-Lewis-Howard,415,1.08,1.04,+21,12,11,52.1
0809,ORL,2,Nelson-Bogans-Turkoglu-Lewis-Howard,276,1.15,0.95,+112,15,6,71.4
0809,ORL,3,Nelson-Lee-Turkoglu-Lewis-Howard,256,1.19,0.95,+120,17,4,80.9
0809,ORL,4,Nelson-Pietrus-Turkoglu-Lewis-Howard,160,1.14,1.02,+39,9,7,56.2
0809,ORL,5,Johnson-Pietrus-Turkoglu-Lewis-Howard,142,1.12,1.00,+31,10,4,71.4
0809,ORL,6,Johnson-Lee-Turkoglu-Lewis-Howard,120,1.22,1.04,+37,17,9,65.3
0809,ORL,7,Nelson-Redick-Turkoglu-Lewis-Howard,79,1.06,1.04,+10,6,6,50.0
0809,ORL,8,Alston-Lee-Pietrus-Lewis-Howard,78,1.04,0.97,+10,6,8,42.8
0809,ORL,9,Johnson-Redick-Turkoglu-Lewis-Howard,69,1.03,1.05,+2,14,5,73.6
0809,ORL,10,Johnson-Lee-Pietrus-Lewis-Howard,56,1.09,0.99,+9,10,11,47.6
0809,ORL,11,Johnson-Redick-Turkoglu-Battie-Howard,48,1.32,0.97,+30,8,5,61.5
0809,ORL,12,Nelson-Bogans-Pietrus-Lewis-Howard,47,1.10,1.04,+3,9,4,69.2
0809,ORL,13,Johnson-Pietrus-Turkoglu-Battie-Howard,47,1.00,1.03,-3,7,5,58.3
0809,ORL,14,Johnson-Redick-Turkoglu-Gortat-Battie,45,1.04,0.93,+7,7,3,70.0
0809,ORL,15,Nelson-Bogans-Turkoglu-Lewis-Battie,41,1.09,1.05,+3,4,6,40.0
0809,ORL,16,Johnson-Redick-Pietrus-Battie-Howard,41,1.01,1.06,-2,5,5,50.0
0809,ORL,17,Johnson-Lee-Turkoglu-Battie-Howard,40,0.92,1.04,-7,4,5,44.4
0809,ORL,18,Johnson-Pietrus-Turkoglu-Gortat-Battie,40,0.91,0.87,+0,4,6,40.0
0809,ORL,19,Alston-Redick-Turkoglu-Lewis-Howard,40,1.14,0.96,+21,7,4,63.6
0809,ORL,20,Nelson-Bogans-Turkoglu-Lewis-Gortat,36,1.07,0.92,+11,3,3,50.0
