Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0910,CLE,1,M.Williams-Parker-James-Hickson-O'Neal,383.6,1.06,1.12,-42,14,17,45.1
0910,CLE,2,M.Williams-Parker-James-Jamison-Hickson,239.3,1.15,1.06,+41,11,7,61.1
0910,CLE,3,Gibson-Parker-James-Hickson-O'Neal,138.5,1.16,1.04,+34,8,4,66.6
0910,CLE,4,M.Williams-Parker-James-Varejao-O'Neal,137.6,1.00,1.06,-9,8,15,34.7
0910,CLE,5,M.Williams-Parker-James-Hickson-Ilgauskas,119.3,1.12,1.10,+12,8,7,53.3
0910,CLE,6,M.Williams-Parker-James-Varejao-Ilgauskas,96.6,1.29,1.02,+51,17,10,62.9
0910,CLE,7,M.Williams-Parker-James-Hickson-Varejao,94.2,1.28,1.14,+29,14,18,43.7
0910,CLE,8,M.Williams-Parker-James-Jamison-Varejao,67.7,1.28,0.98,+45,10,1,90.9
0910,CLE,9,West-Parker-James-Varejao-Ilgauskas,65.9,1.04,0.94,+24,10,8,55.5
0910,CLE,10,J.Williams-Moon-James-Varejao-Ilgauskas,57.6,1.29,1.01,+33,7,2,77.7
0910,CLE,11,M.Williams-West-James-Varejao-Ilgauskas,57.3,1.08,0.99,+13,6,7,46.1
0910,CLE,12,Gibson-M.Williams-Moon-Varejao-Ilgauskas,53.9,1.04,1.03,+1,3,5,37.5
0910,CLE,13,M.Williams-West-Moon-Varejao-O'Neal,47.8,0.96,0.94,+5,6,5,54.5
0910,CLE,14,Gibson-West-Moon-Varejao-Ilgauskas,44.7,0.92,1.10,-21,1,5,16.6
0910,CLE,15,Gibson-Moon-James-Varejao-Ilgauskas,41.6,1.21,1.17,+6,7,5,58.3
0910,CLE,16,Gibson-West-James-Varejao-Ilgauskas,41.5,1.38,0.83,+42,12,4,75.0
0910,CLE,17,M.Williams-West-James-Varejao-O'Neal,41.0,1.12,0.89,+20,9,3,75.0
0910,CLE,18,West-Moon-James-Varejao-Ilgauskas,40.2,1.21,0.99,+15,5,3,62.5
0910,CLE,19,M.Williams-Parker-James-Jamison-O'Neal,36.7,1.23,1.09,+12,2,2,50.0
0910,CLE,20,West-Parker-James-Jamison-Varejao,35.6,1.24,0.93,+25,7,1,87.5
