Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0910,MIL,1,Jennings-Salmons-Delfino-MbahaMoute-Bogut,282.1,1.08,0.92,+72,14,3,82.3
0910,MIL,2,Jennings-Bell-Delfino-MbahaMoute-Bogut,188.6,1.06,1.01,+19,11,7,61.1
0910,MIL,3,Jennings-Bell-Delfino-Ilyasova-Bogut,117.9,1.08,0.85,+62,11,5,68.7
0910,MIL,4,Jennings-Salmons-Delfino-MbahaMoute-Thomas,104.3,1.09,1.17,-12,4,6,40.0
0910,MIL,5,Jennings-Bell-Delfino-Warrick-Bogut,101.9,1.01,0.98,+11,10,8,55.5
0910,MIL,6,Jennings-Delfino-MbahaMoute-Ilyasova-Bogut,97.9,1.02,0.95,+15,3,5,37.5
0910,MIL,7,Jennings-Salmons-Delfino-Ilyasova-Bogut,96.7,1.17,0.96,+49,10,3,76.9
0910,MIL,8,Ridnour-Stackhouse-Delfino-Ilyasova-Thomas,92.4,1.04,1.11,-9,9,11,45.0
0910,MIL,9,Jennings-Bell-MbahaMoute-Ilyasova-Bogut,81.3,1.02,1.08,-16,3,7,30.0
0910,MIL,10,Jennings-Redd-MbahaMoute-Ilyasova-Bogut,74.6,1.00,1.01,-3,5,5,50.0
0910,MIL,11,Ridnour-Stackhouse-Salmons-Ilyasova-Bogut,70.3,1.09,0.97,+18,7,7,50.0
0910,MIL,12,Jennings-Bell-Salmons-MbahaMoute-Bogut,55.9,1.09,1.16,-11,2,5,28.5
0910,MIL,13,Ridnour-Stackhouse-Salmons-Ilyasova-Thomas,54.9,1.01,0.85,+20,8,9,47.0
0910,MIL,14,Jennings-Bell-Delfino-Ilyasova-Gadzuric,47.9,1.06,1.01,+5,3,2,60.0
0910,MIL,15,Jennings-Salmons-Delfino-Ilyasova-Thomas,39.7,1.08,0.98,+7,3,4,42.8
0910,MIL,16,Jennings-Bell-MbahaMoute-Warrick-Bogut,39.4,0.98,1.14,-11,4,7,36.3
0910,MIL,17,Ridnour-Meeks-Delfino-Warrick-Thomas,35.5,0.96,0.98,-3,4,4,50.0
0910,MIL,18,Ridnour-Redd-Delfino-Warrick-Thomas,34.5,1.02,1.03,+3,1,2,33.3
0910,MIL,19,Jennings-Redd-Delfino-Ilyasova-Bogut,31.9,0.59,1.03,-29,0,6,0.0
0910,MIL,20,Jennings-Ridnour-MbahaMoute-Ilyasova-Bogut,31.1,0.99,0.92,+5,2,3,40.0
