Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0910,NOH,1,Paul-D.Brown-Stojakovic-West-Okafor,496.3,1.07,1.05,+29,14,13,51.8
0910,NOH,2,Collison-Peterson-Stojakovic-West-Okafor,247.3,1.04,1.08,-20,7,8,46.6
0910,NOH,3,Collison-Thornton-Peterson-West-Okafor,129.2,1.18,1.17,+4,6,7,46.1
0910,NOH,4,Collison-Thornton-Posey-West-Songaila,123.9,1.09,1.26,-33,8,13,38.0
0910,NOH,5,Collison-Thornton-Stojakovic-West-Okafor,114.9,1.10,1.15,-14,8,7,53.3
0910,NOH,6,Paul-Thornton-Peterson-West-Okafor,102.1,0.91,1.18,-53,0,7,0.0
0910,NOH,7,Collison-Peterson-Wright-West-Okafor,101.0,1.08,1.19,-22,2,5,28.5
0910,NOH,8,Collison-D.Brown-Stojakovic-West-Okafor,97.3,0.94,1.04,-18,3,4,42.8
0910,NOH,9,Paul-Thornton-Stojakovic-West-Okafor,94.2,1.28,1.12,+31,8,3,72.7
0910,NOH,10,Paul-Peterson-Wright-West-Okafor,83.6,0.98,1.02,-9,2,3,40.0
0910,NOH,11,Collison-Thornton-Posey-Stojakovic-West,58.1,1.15,1.46,-36,3,11,21.4
0910,NOH,12,Collison-Thornton-Posey-Wright-Songaila,55.3,1.18,0.97,+26,7,5,58.3
0910,NOH,13,Collison-Thornton-Posey-West-Okafor,54.5,1.08,1.42,-31,5,10,33.3
0910,NOH,14,Paul-D.Brown-Stojakovic-Songaila-Okafor,54.0,1.02,1.36,-31,1,7,12.5
0910,NOH,15,Collison-Posey-Stojakovic-West-Songaila,53.0,0.97,1.02,-8,4,5,44.4
0910,NOH,16,Collison-Thornton-Posey-Wright-West,52.8,1.09,1.10,+2,6,6,50.0
0910,NOH,17,Paul-Thornton-Posey-West-Songaila,51.6,1.34,1.17,+5,7,6,53.8
0910,NOH,18,Paul-D.Brown-Posey-West-Okafor,43.0,1.29,1.08,+18,7,4,63.6
0910,NOH,19,Collison-Thornton-Posey-Songaila-Okafor,42.5,0.90,0.94,+0,7,6,53.8
0910,NOH,20,Collison-D.Brown-Posey-West-Okafor,36.6,1.33,1.38,-7,2,3,40.0
