Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
0910,POR,1,Miller-Roy-Batum-Aldridge-Camby,372.8,1.18,1.03,+108,11,8,57.8
0910,POR,2,Miller-Bayless-Webster-Aldridge-Howard,187.3,1.11,1.04,+23,11,5,68.7
0910,POR,3,Miller-Roy-Webster-Aldridge-Howard,185.2,1.16,1.16,-8,10,12,45.4
0910,POR,4,Blake-Miller-Roy-Aldridge-Oden,134.2,1.13,0.97,+38,6,6,50.0
0910,POR,5,Blake-Roy-Webster-Aldridge-Oden,103.8,1.08,1.03,+10,9,2,81.8
0910,POR,6,Blake-Roy-Webster-Aldridge-Przybilla,102.4,0.95,1.07,-17,6,8,42.8
0910,POR,7,Blake-Miller-Roy-Aldridge-Przybilla,100.5,1.06,1.02,+0,8,9,47.0
0910,POR,8,Bayless-Fernandez-Webster-Aldridge-Howard,93.6,0.92,1.06,-24,5,11,31.2
0910,POR,9,Miller-Fernandez-Webster-Aldridge-Howard,90.7,1.19,1.07,+19,11,7,61.1
0910,POR,10,Miller-Roy-Webster-Aldridge-Przybilla,77.7,1.14,0.93,+29,5,3,62.5
0910,POR,11,Miller-Roy-Batum-Aldridge-Howard,67.7,1.04,1.14,-12,2,6,25.0
0910,POR,12,Blake-Miller-Webster-Aldridge-Howard,62.7,1.02,1.02,+0,6,8,42.8
0910,POR,13,Blake-Miller-Webster-Aldridge-Pendergraph,55.2,1.38,1.03,+30,5,3,62.5
0910,POR,14,Blake-Fernandez-Roy-Aldridge-Przybilla,43.2,1.15,0.97,+12,6,6,50.0
0910,POR,15,Blake-Fernandez-Batum-Cunningham-Aldridge,40.9,1.34,1.04,+27,6,2,75.0
0910,POR,16,Bayless-Fernandez-Roy-Howard-Camby,39.9,0.92,1.23,-19,3,7,30.0
0910,POR,17,Bayless-Fernandez-Webster-Cunningham-Howard,39.2,1.16,1.03,+3,5,5,50.0
0910,POR,18,Blake-Fernandez-Roy-Aldridge-Oden,35.6,1.09,1.50,-15,3,6,33.3
0910,POR,19,Miller-Roy-Webster-Aldridge-Camby,34.4,1.02,1.09,-3,3,3,50.0
0910,POR,20,Miller-Fernandez-Roy-Aldridge-Przybilla,34.3,1.10,1.19,-3,5,4,55.5
