Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1011,ATL,1,Bibby-Johnson-Williams-Smith-Horford,383.2,1.12,1.06,+49,17,9,65.3
1011,ATL,2,Bibby-Ja.Crawford-Johnson-Smith-Horford,233.5,1.16,1.10,+57,21,12,63.6
1011,ATL,3,Bibby-Johnson-Smith-Horford-Collins,213.6,1.08,0.99,+31,9,9,50.0
1011,ATL,4,Hinrich-Johnson-Williams-Smith-Horford,150.2,0.96,1.04,-25,4,7,36.3
1011,ATL,5,Ja.Crawford-Johnson-Williams-Smith-Horford,99.1,0.93,1.21,-53,7,17,29.1
1011,ATL,6,Bibby-Johnson-Evans-Smith-Horford,90.3,1.16,1.00,+24,5,3,62.5
1011,ATL,7,Hinrich-Ja.Crawford-Johnson-Smith-Horford,89.3,1.05,1.15,-17,6,9,40.0
1011,ATL,8,Bibby-Evans-Williams-Smith-Horford,54.9,0.82,1.04,-24,0,5,0.0
1011,ATL,9,Teague-Johnson-Williams-Smith-Horford,54.7,1.13,0.82,+33,6,1,85.7
1011,ATL,10,Bibby-Williams-Smith-Horford-Collins,51.8,0.99,1.00,-2,3,2,60.0
1011,ATL,11,Hinrich-Ja.Crawford-Johnson-Horford-Pachulia,48.9,1.17,1.09,+8,3,6,33.3
1011,ATL,12,Teague-Ja.Crawford-Evans-Powell-Pachulia,47.2,1.01,1.03,-2,4,5,44.4
1011,ATL,13,Hinrich-Johnson-Williams-Horford-Pachulia,46.4,0.90,1.42,-45,1,6,14.2
1011,ATL,14,Ja.Crawford-Johnson-Evans-Smith-Horford,43.6,1.24,1.02,+16,8,7,53.3
1011,ATL,15,Teague-Ja.Crawford-Johnson-Powell-Pachulia,40.1,1.10,1.22,-8,6,5,54.5
1011,ATL,16,Bibby-Johnson-Williams-Smith-Pachulia,36.5,1.00,1.08,-6,3,2,60.0
1011,ATL,17,Bibby-Ja.Crawford-Williams-Smith-Horford,36.0,1.14,0.99,+12,8,5,61.5
1011,ATL,18,Hinrich-Johnson-Williams-Horford-Collins,34.8,0.93,1.01,-5,1,2,33.3
1011,ATL,19,Ja.Crawford-Johnson-Smith-Horford-Pachulia,34.4,0.96,1.13,-8,4,5,44.4
1011,ATL,20,Hinrich-Ja.Crawford-Williams-Smith-Horford,33.9,1.20,1.22,+2,2,4,33.3
