Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1011,LAC,1,Davis-Gordon-Gomes-Griffin-Jordan,328.1,1.20,1.11,+52,12,7,63.1
1011,LAC,2,Davis-Foye-Gomes-Griffin-Jordan,256.6,1.15,1.07,+46,12,6,66.6
1011,LAC,3,Bledsoe-Gordon-Aminu-Griffin-Jordan,233.8,1.11,1.12,-10,14,15,48.2
1011,LAC,4,M.Williams-Foye-Gomes-Griffin-Jordan,131.7,0.99,1.19,-56,3,7,30.0
1011,LAC,5,Bledsoe-Gordon-Gomes-Griffin-Jordan,112.3,1.11,1.05,+11,14,12,53.8
1011,LAC,6,Bledsoe-Foye-Gomes-Griffin-Jordan,88.7,1.05,1.14,-14,5,11,31.2
1011,LAC,7,Bledsoe-Gordon-Gomes-Griffin-Kaman,83.8,1.09,1.07,+5,2,3,40.0
1011,LAC,8,Bledsoe-Foye-Aminu-Diogu-Griffin,71.4,0.93,1.11,-16,7,14,33.3
1011,LAC,9,M.Williams-Gordon-Moon-Griffin-Jordan,68.5,0.98,1.03,-6,2,5,28.5
1011,LAC,10,M.Williams-Gordon-Gomes-Griffin-Kaman,63.8,1.11,0.98,+16,4,1,80.0
1011,LAC,11,M.Williams-Foye-Gordon-Griffin-Kaman,57.2,1.10,1.13,-6,2,4,33.3
1011,LAC,12,Bledsoe-Foye-Aminu-Griffin-Jordan,55.3,0.81,1.07,-35,6,17,26.0
1011,LAC,13,Davis-Gordon-Gomes-Griffin-Kaman,52.6,0.80,1.23,-44,1,3,25.0
1011,LAC,14,Bledsoe-Foye-Aminu-Griffin-Kaman,51.3,1.11,1.06,+11,6,5,54.5
1011,LAC,15,Bledsoe-Butler-Gomes-Griffin-Jordan,44.3,0.98,1.04,-6,6,6,50.0
1011,LAC,16,M.Williams-Gordon-Moon-Griffin-Kaman,40.5,0.97,0.97,-2,2,2,50.0
1011,LAC,17,M.Williams-Foye-Gordon-Griffin-Jordan,34.4,1.07,1.01,+8,6,3,66.6
1011,LAC,18,M.Williams-Gordon-Gomes-Griffin-Jordan,34.0,1.30,1.08,+16,2,0,100
1011,LAC,19,Davis-Gordon-Aminu-Griffin-Jordan,32.6,1.35,0.91,+26,6,2,75.0
1011,LAC,20,Bledsoe-Gordon-Aminu-Gomes-Griffin,30.2,1.09,1.12,-1,2,3,40.0
