Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1112,IND,1,Collison-George-Granger-West-Hibbert,1000.1,1.09,1.00,+185,35,20,63.6
1112,IND,2,Hill-George-Granger-West-Hibbert,229.3,1.12,0.97,+72,12,7,63.1
1112,IND,3,Collison-Hill-Granger-Hansbrough-Hibbert,112.3,0.93,1.17,-56,13,19,40.6
1112,IND,4,Hill-Barbosa-Jones-Hansbrough-Amundson,106.6,1.04,0.97,+13,7,6,53.8
1112,IND,5,Collison-Hill-Granger-West-Hibbert,95.4,1.19,1.03,+28,15,7,68.1
1112,IND,6,Collison-Jones-George-West-Hibbert,89.9,0.96,1.10,-19,9,13,40.9
1112,IND,7,Collison-George-Granger-Hansbrough-Hibbert,59.2,1.02,0.91,+8,12,7,63.1
1112,IND,8,Price-Hill-Jones-Hansbrough-Amundson,58.3,1.07,1.06,+2,4,4,50.0
1112,IND,9,Price-Barbosa-Jones-Hansbrough-Amundson,55.0,0.92,0.93,-1,2,2,50.0
1112,IND,10,Price-Stephenson-Jones-Amundson-Pendergraph,50.7,0.96,1.22,-26,3,7,30.0
1112,IND,11,Collison-Stephenson-Granger-Hansbrough-Hibbert,41.5,1.08,1.17,-2,6,6,50.0
1112,IND,12,Hill-Stephenson-Jones-Hansbrough-Amundson,41.0,0.90,1.16,-16,3,6,33.3
1112,IND,13,Hill-Barbosa-Granger-Hansbrough-Amundson,38.7,1.26,1.17,+2,8,4,66.6
1112,IND,14,Price-Stephenson-Jones-Hansbrough-Amundson,36.8,1.03,1.02,+0,4,3,57.1
1112,IND,15,Hill-Barbosa-Granger-Hansbrough-Hibbert,34.1,1.48,1.08,+29,8,1,88.8
1112,IND,16,Collison-George-Granger-West-Hansbrough,34.0,1.24,1.26,-9,6,8,42.8
1112,IND,17,Hill-Jones-George-West-Hansbrough,33.8,0.97,1.10,-9,7,7,50.0
1112,IND,18,Price-Jones-George-Hansbrough-Amundson,28.4,0.73,0.91,-8,5,5,50.0
1112,IND,19,Collison-Hill-Jones-West-Hansbrough,27.4,1.21,1.02,+7,8,3,72.7
1112,IND,20,Collison-Jones-George-West-Hansbrough,27.3,1.22,1.15,+2,7,7,50.0
