Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1112,LAL,1,Fisher-Bryant-WorldPeace-Gasol-Bynum,492.7,1.04,0.98,+67,17,12,58.6
1112,LAL,2,Fisher-Bryant-Barnes-Gasol-Bynum,306.1,1.02,1.03,-9,14,15,48.2
1112,LAL,3,Sessions-Bryant-WorldPeace-Gasol-Bynum,163.6,1.11,1.05,+23,4,4,50.0
1112,LAL,4,Blake-Bryant-WorldPeace-Gasol-Bynum,135.8,1.01,1.10,-16,6,11,35.2
1112,LAL,5,Blake-Goudelock-Barnes-Murphy-Bynum,123.5,1.04,1.01,+5,10,6,62.5
1112,LAL,6,Sessions-Ebanks-WorldPeace-Gasol-Bynum,116.2,1.14,0.98,+35,4,3,57.1
1112,LAL,7,Blake-Barnes-WorldPeace-McRoberts-Gasol,99.9,1.13,1.05,+7,6,8,42.8
1112,LAL,8,Blake-Bryant-Barnes-Murphy-Gasol,81.5,1.11,0.98,+22,10,8,55.5
1112,LAL,9,Blake-Bryant-WorldPeace-Murphy-Gasol,68.9,1.01,1.12,-10,9,14,39.1
1112,LAL,10,Blake-Bryant-Barnes-Gasol-Bynum,63.4,1.23,1.10,+16,10,8,55.5
1112,LAL,11,Blake-Bryant-Barnes-Murphy-Bynum,51.8,1.17,1.02,+15,9,8,52.9
1112,LAL,12,Fisher-Bryant-Ebanks-McRoberts-Gasol,48.6,1.03,0.99,+6,2,2,50.0
1112,LAL,13,Goudelock-Kapono-Barnes-Murphy-Bynum,39.3,1.15,1.01,+9,3,2,60.0
1112,LAL,14,Fisher-Bryant-WorldPeace-Murphy-Gasol,39.0,1.01,0.89,+10,9,7,56.2
1112,LAL,15,Sessions-Barnes-WorldPeace-Gasol-Bynum,39.0,1.36,1.27,+11,3,4,42.8
1112,LAL,16,Sessions-Bryant-Barnes-Gasol-Bynum,37.3,1.09,1.01,+2,3,4,42.8
1112,LAL,17,Blake-Bryant-Barnes-McRoberts-Bynum,35.3,1.10,1.12,+3,6,3,66.6
1112,LAL,18,Fisher-Bryant-Barnes-Murphy-Gasol,34.9,0.84,1.13,-21,5,13,27.7
1112,LAL,19,Blake-Bryant-Barnes-McRoberts-Gasol,33.8,0.95,1.00,-5,4,8,33.3
1112,LAL,20,Sessions-Bryant-Barnes-McRoberts-Gasol,30.9,1.17,1.16,-5,2,3,40.0
