Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1112,NJN,1,D.Williams-Brooks-Stevenson-Humphries-She.Williams,156.0,1.02,0.99,+3,6,7,46.1
1112,NJN,2,D.Williams-Brooks-Wallace-Humphries-She.Williams,120.8,1.04,1.03,+4,4,5,44.4
1112,NJN,3,D.Williams-Morrow-Stevenson-Humphries-She.Williams,66.6,1.14,1.00,+10,6,7,46.1
1112,NJN,4,D.Williams-Brooks-Stevenson-Humphries-Okur,66.3,1.03,1.04,-3,2,3,40.0
1112,NJN,5,D.Williams-Morrow-Brooks-Humphries-Okur,57.9,1.06,1.18,-11,2,4,33.3
1112,NJN,6,Farmar-Brooks-Stevenson-Humphries-She.Williams,56.8,1.08,1.20,-10,2,4,33.3
1112,NJN,7,D.Williams-Morrow-Brooks-Humphries-Petro,51.4,1.04,1.01,+6,5,3,62.5
1112,NJN,8,D.Williams-Morrow-Sha.Williams-Humphries-She.Williams,50.0,1.15,1.04,+11,3,3,50.0
1112,NJN,9,D.Williams-Farmar-Morrow-Humphries-She.Williams,46.8,1.10,1.26,-10,6,6,50.0
1112,NJN,10,D.Williams-Brooks-Stevenson-Humphries-Lopez,43.7,0.80,1.21,-36,0,4,0.0
1112,NJN,11,D.Williams-Gaines-James-Humphries-Okur,40.7,0.99,1.11,-11,1,4,20.0
1112,NJN,12,D.Williams-Morrow-Brooks-Humphries-She.Williams,37.7,1.09,1.35,-14,4,8,33.3
1112,NJN,13,D.Williams-Brooks-Wallace-Humphries-Petro,35.9,1.04,1.23,-15,2,2,50.0
1112,NJN,14,D.Williams-Morrow-Green-Humphries-J.Williams,35.3,1.11,1.05,+4,3,3,50.0
1112,NJN,15,D.Williams-Brooks-Stevenson-Humphries-Petro,30.3,1.04,1.04,-2,4,7,36.3
1112,NJN,16,D.Williams-Farmar-Sha.Williams-Humphries-She.Williams,30.2,1.19,1.06,+7,4,2,66.6
1112,NJN,17,D.Williams-Morrow-Green-Wallace-Humphries,30.1,1.15,1.04,+20,5,2,71.4
1112,NJN,18,Gaines-Morrow-Green-Humphries-Petro,30.1,1.33,1.04,+18,6,1,85.7
1112,NJN,19,D.Williams-Morrow-Stevenson-Humphries-Okur,28.4,0.88,1.02,-8,1,4,20.0
1112,NJN,20,D.Williams-Morrow-James-Humphries-Petro,26.4,0.92,0.94,+0,1,1,50.0
