Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1112,SAS,1,Parker-Leonard-Jefferson-Blair-Duncan,189.2,0.99,0.96,+11,11,8,57.8
1112,SAS,2,Parker-Green-Leonard-Blair-Duncan,147.1,1.07,1.03,+3,7,11,38.8
1112,SAS,3,Parker-Green-Jefferson-Blair-Duncan,125.6,1.03,1.00,+12,8,8,50.0
1112,SAS,4,Parker-Neal-Jefferson-Blair-Duncan,101.6,1.16,0.95,+46,11,4,73.3
1112,SAS,5,Neal-Ginobili-Jackson-Bonner-Splitter,69.3,1.20,1.11,+12,7,5,58.3
1112,SAS,6,Parker-Ginobili-Jefferson-Blair-Duncan,63.2,1.13,1.10,+0,4,4,50.0
1112,SAS,7,Parker-Green-Leonard-Diaw-Duncan,51.8,1.21,0.94,+27,6,2,75.0
1112,SAS,8,Parker-Green-Leonard-Bonner-Duncan,48.9,0.95,0.95,+6,9,7,56.2
1112,SAS,9,Parker-Green-Jefferson-Bonner-Splitter,48.8,1.05,0.87,+20,7,5,58.3
1112,SAS,10,Parker-Neal-Green-Bonner-Splitter,41.7,1.31,1.11,+14,6,5,54.5
1112,SAS,11,Neal-Green-Leonard-Bonner-Splitter,39.0,1.01,1.00,+4,5,5,50.0
1112,SAS,12,Neal-Ginobili-Leonard-Bonner-Splitter,39.0,1.50,1.19,+27,7,3,70.0
1112,SAS,13,Parker-Green-Jefferson-Bonner-Duncan,34.7,1.08,1.17,-6,5,8,38.4
1112,SAS,14,Parker-Ginobili-Leonard-Blair-Duncan,34.6,1.28,0.89,+29,9,1,90.0
1112,SAS,15,Neal-Green-Jefferson-Bonner-Splitter,32.0,1.07,1.02,+0,5,4,55.5
1112,SAS,16,Parker-Neal-Leonard-Bonner-Duncan,31.8,1.19,0.80,+22,8,1,88.8
1112,SAS,17,Neal-Anderson-Green-Bonner-Splitter,31.8,1.36,0.78,+33,4,1,80.0
1112,SAS,18,Parker-Neal-Leonard-Bonner-Splitter,30.8,1.14,1.14,+0,5,6,45.4
1112,SAS,19,Parker-Neal-Green-Bonner-Duncan,26.4,1.08,0.73,+22,7,1,87.5
1112,SAS,20,Joseph-Neal-Green-Bonner-Splitter,26.3,1.13,1.02,+1,4,3,57.1
