Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1213,GSW,1,Curry-Thompson-Barnes-Lee-Ezeli,516.1,1.08,1.05,+32,27,25,51.9
1213,GSW,2,Curry-Thompson-Barnes-Lee-Bogut,421.5,1.07,1.05,+10,14,14,50.0
1213,GSW,3,Curry-Jack-Thompson-Landry-Lee,401.1,1.12,1.08,+75,35,21,62.5
1213,GSW,4,Curry-Jack-Thompson-Lee-Bogut,205.0,1.16,1.08,+47,12,14,46.1
1213,GSW,5,Curry-Thompson-Barnes-Lee-Biedrins,174.9,1.04,0.98,+17,19,9,67.8
1213,GSW,6,Curry-Thompson-Barnes-Landry-Lee,151.1,1.12,1.12,+5,19,20,48.7
1213,GSW,7,Curry-Jack-Barnes-Landry-Lee,124.6,1.17,1.07,+28,17,17,50.0
1213,GSW,8,Curry-Jack-Thompson-Lee-Ezeli,107.6,1.17,1.13,+2,14,14,50.0
1213,GSW,9,Curry-Jack-Thompson-Green-Lee,73.2,1.06,0.90,+17,10,8,55.5
1213,GSW,10,Curry-Jack-Thompson-Landry-Ezeli,64.1,0.93,1.02,-8,7,12,36.8
1213,GSW,11,Curry-Jack-Green-Landry-Lee,63.8,1.17,1.07,+8,10,9,52.6
1213,GSW,12,Jack-Thompson-Barnes-Landry-Lee,63.4,0.98,1.10,-15,8,8,50.0
1213,GSW,13,Jack-Jenkins-Green-Landry-Biedrins,58.2,0.96,0.96,+2,7,7,50.0
1213,GSW,14,Curry-Jack-Thompson-Green-Landry,54.4,0.97,1.19,-14,6,12,33.3
1213,GSW,15,Jack-Jefferson-Green-Landry-Ezeli,52.3,0.95,1.10,-22,4,9,30.7
1213,GSW,16,Jack-Thompson-Barnes-Lee-Bogut,43.4,1.09,1.01,+12,4,2,66.6
1213,GSW,17,Curry-Jack-Thompson-Lee-Biedrins,41.6,0.97,1.12,-18,7,8,46.6
1213,GSW,18,Jack-Jefferson-Green-Landry-Biedrins,39.6,0.97,1.17,-9,3,7,30.0
1213,GSW,19,Curry-Jack-Jefferson-Green-Landry,37.4,1.15,1.16,+4,7,4,63.6
1213,GSW,20,Jack-Thompson-Green-Landry-Lee,34.8,1.03,1.18,-12,4,8,33.3
