Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1314,DAL,1,Calderon-Ellis-Marion-Nowitzki-Dalembert,844.2,1.10,1.10,-3,28,33,45.9
1314,DAL,2,Calderon-Ellis-Carter-Marion-Dalembert,257.5,1.03,1.08,-22,23,30,43.3
1314,DAL,3,Calderon-Ellis-Marion-Nowitzki-Blair,229.0,1.15,1.15,-1,22,22,50.0
1314,DAL,4,Calderon-Ellis-Carter-Marion-Blair,182.2,1.06,1.09,-26,22,29,43.1
1314,DAL,5,Harris-Carter-Crowder-Nowitzki-Wright,109.7,1.19,0.90,+54,13,9,59.0
1314,DAL,6,Calderon-Ellis-Carter-Marion-Wright,101.9,1.04,1.27,-44,12,19,38.7
1314,DAL,7,Calderon-Ellis-Marion-Nowitzki-Wright,77.6,1.16,1.29,-12,10,9,52.6
1314,DAL,8,Calderon-Ellis-Crowder-Nowitzki-Dalembert,66.7,1.08,1.06,+4,5,5,50.0
1314,DAL,9,Calderon-Ellis-Carter-Nowitzki-Dalembert,64.5,1.04,0.98,+24,16,11,59.2
1314,DAL,10,Larkin-Carter-Crowder-Nowitzki-Blair,64.0,0.93,0.99,-8,7,8,46.6
1314,DAL,11,Calderon-Ellis-Carter-Nowitzki-Wright,61.2,1.21,1.30,+13,14,11,56.0
1314,DAL,12,Larkin-Carter-Crowder-Nowitzki-Wright,58.9,1.09,0.95,+17,6,5,54.5
1314,DAL,13,Harris-Ellis-Crowder-Nowitzki-Wright,56.6,1.42,1.18,+16,10,9,52.6
1314,DAL,14,Mekel-Carter-Crowder-Nowitzki-Blair,55.9,1.11,0.92,+21,6,4,60.0
1314,DAL,15,Harris-Ellington-Carter-Nowitzki-Wright,53.7,1.04,1.19,-12,4,5,44.4
1314,DAL,16,Harris-Ellis-Carter-Marion-Blair,53.2,1.11,1.23,-17,7,15,31.8
1314,DAL,17,Calderon-Ellis-Carter-Nowitzki-Blair,39.5,1.21,1.03,+30,16,7,69.5
1314,DAL,18,Harris-Ellis-Carter-Marion-Dalembert,37.9,1.06,1.01,+3,6,8,42.8
1314,DAL,19,Calderon-Ellis-Crowder-Marion-Blair,37.3,1.14,0.95,+14,4,4,50.0
1314,DAL,20,Harris-Carter-Crowder-Nowitzki-Blair,35.1,1.17,1.05,+12,9,4,69.2
