Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1314,NYK,1,Felton-Smith-Anthony-Stoudemire-Chandler,286.4,1.15,1.14,+10,12,12,50.0
1314,NYK,2,Felton-Hardaway-Smith-Anthony-Chandler,195.0,1.07,1.08,+20,13,11,54.1
1314,NYK,3,Felton-Shumpert-Anthony-Martin-Bargnani,146.2,1.04,0.97,+23,6,7,46.1
1314,NYK,4,Felton-Shumpert-Smith-Anthony-Chandler,141.9,1.22,1.09,+20,13,13,50.0
1314,NYK,5,Felton-Prigioni-Shumpert-Anthony-Chandler,133.9,1.12,0.97,+36,9,5,64.2
1314,NYK,6,Felton-Shumpert-Smith-Anthony-Bargnani,126.1,1.03,0.94,+31,7,4,63.6
1314,NYK,7,Felton-Shumpert-Anthony-Bargnani-Chandler,90.9,1.02,1.26,-41,1,7,12.5
1314,NYK,8,Felton-Prigioni-Smith-Anthony-Chandler,73.4,1.24,1.09,+14,4,3,57.1
1314,NYK,9,Felton-Shumpert-Smith-Anthony-Stoudemire,71.9,1.20,1.22,-2,8,11,42.1
1314,NYK,10,Udrih-Shumpert-Anthony-Martin-Bargnani,66.6,1.10,1.11,-1,4,3,57.1
1314,NYK,11,Felton-Hardaway-Smith-Anthony-Stoudemire,60.8,0.98,1.18,-4,16,11,59.2
1314,NYK,12,Prigioni-Hardaway-Smith-Anthony-Stoudemire,57.6,1.19,1.36,-14,9,11,45.0
1314,NYK,13,Prigioni-Hardaway-Smith-Anthony-Chandler,50.6,1.13,1.02,+15,7,8,46.6
1314,NYK,14,Prigioni-Shumpert-Hardaway-Anthony-Chandler,48.5,1.09,1.02,+12,9,9,50.0
1314,NYK,15,Felton-Shumpert-Hardaway-Anthony-Chandler,43.7,0.93,0.99,-4,5,12,29.4
1314,NYK,16,Prigioni-Smith-Anthony-Bargnani-Stoudemire,43.0,0.95,1.41,-24,3,5,37.5
1314,NYK,17,Murry-Hardaway-Smith-Martin-Stoudemire,42.5,0.86,1.11,-23,2,5,28.5
1314,NYK,18,Murry-Hardaway-Brown-Aldrich-Tyler,39.7,0.92,1.23,-25,1,4,20.0
1314,NYK,19,Prigioni-Shumpert-Smith-Anthony-Bargnani,38.7,1.03,1.09,-4,4,3,57.1
1314,NYK,20,Udrih-Hardaway-Smith-Bargnani-Chandler,37.5,1.03,1.37,-28,0,6,0.0
