Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1516,BKN,1,Sloan-Ellington-Johnson-Young-Lopez,407.5,1.10,1.07,+27,14,12,53.8
1516,BKN,2,Jack-Johnson-Bogdanovic-Young-Lopez,296.6,1.06,1.11,-25,11,18,37.9
1516,BKN,3,Jack-Johnson-Hollis-Jefferson-Young-Lopez,219.9,1.00,0.98,+0,11,5,68.7
1516,BKN,4,Sloan-Ellington-Bogdanovic-Young-Lopez,155.0,1.01,1.10,-21,5,12,29.4
1516,BKN,5,Larkin-Johnson-Bogdanovic-Young-Lopez,102.7,1.11,1.10,+8,8,10,44.4
1516,BKN,6,Sloan-Johnson-Bogdanovic-Young-Lopez,70.5,1.12,1.06,+10,7,7,50.0
1516,BKN,7,Larkin-Ellington-Johnson-Young-Lopez,69.2,0.98,0.98,+3,10,7,58.8
1516,BKN,8,Jack-Brown-Johnson-Young-Lopez,65.6,1.17,1.19,-8,2,4,33.3
1516,BKN,9,Jack-Ellington-Johnson-Young-Lopez,60.4,0.95,1.22,-25,3,9,25.0
1516,BKN,10,Larkin-Karasev-Bogdanovic-Young-Lopez,58.7,1.06,1.14,-9,3,5,37.5
1516,BKN,11,Larkin-Brown-Bogdanovic-Young-Lopez,54.1,1.24,1.01,+27,7,5,58.3
1516,BKN,12,Larkin-Brown-Bogdanovic-Robinson-Bargnani,48.9,1.01,1.24,-18,3,6,33.3
1516,BKN,13,Larkin-Brown-Kilpatrick-Robinson-McCullough,45.0,1.31,1.49,-15,2,2,50.0
1516,BKN,14,Larkin-Ellington-Bogdanovic-Young-Lopez,44.0,0.90,1.11,-13,8,13,38.0
1516,BKN,15,Larkin-Ellington-Bogdanovic-Robinson-Bargnani,37.6,0.77,1.12,-23,0,9,0.0
1516,BKN,16,Sloan-Brown-Kilpatrick-McCullough-Sims,37.4,0.83,1.25,-34,0,7,0.0
1516,BKN,17,Sloan-Brown-Bogdanovic-Young-Lopez,36.7,1.08,1.14,-4,4,3,57.1
1516,BKN,18,Sloan-Karasev-Bogdanovic-Young-Lopez,33.0,1.33,0.98,+23,2,1,66.6
1516,BKN,19,Larkin-Brown-Johnson-Young-Lopez,32.0,0.98,1.02,+0,3,6,33.3
1516,BKN,20,Larkin-Brown-Bogdanovic-Robinson-McCullough,28.3,1.07,1.21,-10,2,3,40.0
