Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1516,OKC,1,Westbrook-Roberson-Durant-Ibaka-Adams,815.1,1.17,0.99,+291,38,18,67.8
1516,OKC,2,Westbrook-Waiters-Durant-Ibaka-Adams,361.0,1.17,1.02,+111,29,14,67.4
1516,OKC,3,Westbrook-Waiters-Durant-Ibaka-Kanter,129.1,1.32,1.16,+54,24,11,68.5
1516,OKC,4,Foye-Waiters-Singler-Durant-Kanter,81.9,1.05,1.26,-37,3,10,23.0
1516,OKC,5,Augustin-Waiters-Morrow-Collison-Kanter,76.3,0.99,1.16,-30,2,11,15.3
1516,OKC,6,Westbrook-Roberson-Durant-Ibaka-Kanter,75.9,1.14,1.08,+8,9,15,37.5
1516,OKC,7,Westbrook-Morrow-Roberson-Ibaka-Adams,59.7,1.16,0.93,+28,5,1,83.3
1516,OKC,8,Westbrook-Waiters-Roberson-Ibaka-Adams,55.0,0.97,1.11,-10,3,9,25.0
1516,OKC,9,Augustin-Waiters-Singler-Collison-Kanter,51.8,0.94,0.96,-2,2,3,40.0
1516,OKC,10,Westbrook-Morrow-Durant-Ibaka-Adams,50.4,1.13,1.22,-9,8,8,50.0
1516,OKC,11,Payne-Waiters-Morrow-Collison-Kanter,50.2,1.07,1.16,-14,3,7,30.0
1516,OKC,12,Westbrook-Waiters-Roberson-Durant-Ibaka,46.2,1.08,1.21,-30,7,16,30.4
1516,OKC,13,Payne-Foye-Waiters-Durant-Kanter,45.2,1.15,0.92,+20,5,2,71.4
1516,OKC,14,Augustin-Waiters-Durant-Collison-Kanter,44.2,1.15,1.07,+8,8,7,53.3
1516,OKC,15,Westbrook-Waiters-Morrow-Durant-Ibaka,38.3,1.42,1.02,+51,14,2,87.5
1516,OKC,16,Westbrook-Waiters-Singler-Ibaka-Kanter,36.4,1.22,1.20,+3,7,8,46.6
1516,OKC,17,Westbrook-Foye-Durant-Ibaka-Adams,36.1,1.27,1.41,-8,5,8,38.4
1516,OKC,18,Westbrook-Waiters-Roberson-Ibaka-Kanter,35.9,0.94,1.24,-23,5,8,38.4
1516,OKC,19,Westbrook-Waiters-Singler-Durant-Ibaka,33.1,0.89,1.17,-21,3,5,37.5
1516,OKC,20,Westbrook-Waiters-Singler-Ibaka-Adams,29.0,1.02,0.83,+11,9,6,60.0
