Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1617,DEN,1,Mudiay-Harris-Chandler-Gallinari-Jokic,207.3,1.22,1.18,+19,6,11,35.2
1617,DEN,2,Nelson-Harris-Chandler-Gallinari-Jokic,197.7,1.16,1.14,+16,9,11,45.0
1617,DEN,3,Nelson-Harris-Gallinari-Faried-Jokic,88.1,1.21,1.07,+27,7,1,87.5
1617,DEN,4,Nelson-Harris-Barton-Chandler-Jokic,79.1,1.24,1.16,+11,8,4,66.6
1617,DEN,5,Mudiay-Barton-Chandler-Gallinari-Nurkic,70.7,1.01,1.14,-17,4,7,36.3
1617,DEN,6,Murray-Harris-Chandler-Gallinari-Jokic,68.8,1.23,1.05,+32,5,3,62.5
1617,DEN,7,Mudiay-Barton-Gallinari-Faried-Nurkic,63.0,0.92,1.26,-44,2,7,22.2
1617,DEN,8,Mudiay-Nelson-Gallinari-Faried-Nurkic,52.8,0.91,1.18,-30,1,4,20.0
1617,DEN,9,Nelson-Murray-Barton-Chandler-Nurkic,52.3,1.09,1.05,+3,3,4,42.8
1617,DEN,10,Nelson-Barton-Chandler-Gallinari-Jokic,51.4,1.16,1.16,+1,5,6,45.4
1617,DEN,11,Nelson-Murray-Chandler-Gallinari-Jokic,49.9,1.12,0.90,+27,9,2,81.8
1617,DEN,12,Nelson-Harris-Chandler-Faried-Jokic,49.7,1.23,1.24,+5,4,4,50.0
1617,DEN,13,Nelson-Murray-Chandler-Hernangomez-Jokic,45.9,1.19,1.21,-8,3,6,33.3
1617,DEN,14,Mudiay-Barton-Gallinari-Faried-Jokic,44.1,1.25,1.08,+16,3,3,50.0
1617,DEN,15,Mudiay-Barton-Gallinari-Jokic-Nurkic,43.5,1.11,1.16,-2,1,2,33.3
1617,DEN,16,Nelson-Harris-Barton-Hernangomez-Jokic,42.8,1.38,1.00,+35,5,1,83.3
1617,DEN,17,Murray-Harris-Gallinari-Faried-Jokic,42.1,1.17,1.13,+3,2,3,40.0
1617,DEN,18,Nelson-Murray-Barton-Chandler-Faried,41.7,1.09,1.19,-10,4,6,40.0
1617,DEN,19,Nelson-Harris-Hernangomez-Jokic-Plumlee,40.5,1.02,1.13,-8,1,2,33.3
1617,DEN,20,Mudiay-Barton-Chandler-Gallinari-Faried,37.1,0.94,1.15,-23,1,9,10.0
