Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1617,DET,1,Smith-Caldwell-Pope-Harris-Morris-Drummond,493.1,1.10,1.16,-80,17,36,32.0
1617,DET,2,Jackson-Caldwell-Pope-Morris-Leuer-Drummond,404.9,1.06,1.15,-83,11,22,33.3
1617,DET,3,Jackson-Caldwell-Pope-Harris-Morris-Drummond,385.0,1.05,1.18,-81,18,20,47.3
1617,DET,4,Smith-Caldwell-Pope-Morris-Leuer-Drummond,190.1,0.97,1.02,-27,14,22,38.8
1617,DET,5,Smith-Caldwell-Pope-Harris-Leuer-Drummond,110.3,1.10,1.13,-2,12,13,48.0
1617,DET,6,Smith-Caldwell-Pope-Harris-Morris-Baynes,100.5,1.06,0.92,+32,16,15,51.6
1617,DET,7,Jackson-Caldwell-Pope-Harris-Leuer-Drummond,82.0,1.04,0.95,+21,8,4,66.6
1617,DET,8,Smith-Caldwell-Pope-Johnson-Harris-Drummond,80.4,1.09,1.08,+3,12,11,52.1
1617,DET,9,Smith-Johnson-Harris-Morris-Baynes,65.0,1.08,0.98,+14,8,7,53.3
1617,DET,10,Smith-Caldwell-Pope-Morris-Leuer-Baynes,58.3,1.15,0.95,+21,14,9,60.8
1617,DET,11,Smith-Caldwell-Pope-Harris-Leuer-Baynes,58.3,1.16,0.99,+17,11,9,55.0
1617,DET,12,Smith-Johnson-Harris-Leuer-Baynes,53.9,1.06,1.00,+3,5,8,38.4
1617,DET,13,Udrih-Johnson-Harris-Leuer-Baynes,53.8,0.98,0.91,+3,4,5,44.4
1617,DET,14,Udrih-Johnson-Morris-Leuer-Baynes,53.0,0.95,1.14,-20,3,7,30.0
1617,DET,15,Smith-Caldwell-Pope-Johnson-Harris-Baynes,52.7,1.21,0.97,+33,12,5,70.5
1617,DET,16,Jackson-Johnson-Harris-Morris-Drummond,52.0,1.10,1.19,-12,4,7,36.3
1617,DET,17,Smith-Johnson-Harris-Morris-Drummond,44.5,1.10,0.83,+23,10,8,55.5
1617,DET,18,Jackson-Johnson-Harris-Leuer-Baynes,42.3,1.02,1.01,+1,5,5,50.0
1617,DET,19,Jackson-Bullock-Harris-Morris-Drummond,40.2,0.83,1.03,-13,2,3,40.0
1617,DET,20,Smith-Caldwell-Pope-Harris-Morris-Leuer,36.5,1.17,0.96,+16,4,4,50.0
