Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1617,NOP,1,Holiday-Hield-Hill-Cunningham-Davis,189.2,1.09,0.98,+43,10,6,62.5
1617,NOP,2,Holiday-Hield-Hill-Jones-Davis,121.7,1.10,1.00,+21,6,4,60.0
1617,NOP,3,Frazier-Moore-Hill-Davis-Asik,115.8,1.08,1.06,+9,6,9,40.0
1617,NOP,4,Holiday-Moore-Hill-Cunningham-Davis,106.5,1.15,1.05,+7,15,9,62.5
1617,NOP,5,Frazier-Holiday-Hill-Davis-Cousins,99.3,1.09,1.04,+12,2,3,40.0
1617,NOP,6,Holiday-Thompson-Hill-Davis-Cousins,81.4,0.98,0.90,+14,4,2,66.6
1617,NOP,7,Holiday-Hield-Hill-Davis-Ajinca,81.1,1.09,1.08,+1,3,4,42.8
1617,NOP,8,Holiday-Moore-Hill-Davis-Cousins,79.4,1.18,0.98,+33,8,6,57.1
1617,NOP,9,Frazier-Moore-Crawford-Cunningham-Cousins,57.4,1.35,1.26,+1,5,3,62.5
1617,NOP,10,Frazier-Moore-Hill-Cunningham-Davis,57.0,1.26,1.08,+18,7,5,58.3
1617,NOP,11,Frazier-Moore-Cunningham-Davis-Asik,56.1,1.15,1.06,+9,4,3,57.1
1617,NOP,12,Galloway-Moore-Evans-Jones-Cunningham,47.2,1.08,1.14,-3,3,6,33.3
1617,NOP,13,Holiday-Crawford-Hill-Davis-Cousins,47.1,1.19,1.06,+13,6,4,60.0
1617,NOP,14,Frazier-Holiday-Hill-Cunningham-Davis,46.3,1.06,1.07,-4,3,4,42.8
1617,NOP,15,Frazier-Holiday-Hill-Cunningham-Ajinca,41.9,0.98,1.14,-12,1,2,33.3
1617,NOP,16,Galloway-Moore-Evans-Hill-Jones,37.2,1.03,1.22,-9,2,3,40.0
1617,NOP,17,Frazier-Moore-Hill-Jones-Davis,36.9,1.32,1.23,+9,5,4,55.5
1617,NOP,18,Holiday-Moore-Hill-Jones-Davis,33.4,1.06,1.10,-4,5,6,45.4
1617,NOP,19,Holiday-Crawford-Hill-Cunningham-Davis,31.7,1.43,1.11,+16,4,2,66.6
1617,NOP,20,Frazier-Hield-Hill-Davis-Asik,31.6,0.81,1.05,-14,2,3,40.0
