Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1617,TOR,1,Lowry-DeRozan-Carroll-Siakam-Valanciunas,363.7,1.09,1.20,-89,11,19,36.6
1617,TOR,2,Joseph-DeRozan-Carroll-Ibaka-Valanciunas,232.9,1.09,1.08,+6,9,6,60.0
1617,TOR,3,Lowry-Joseph-Ross-Patterson-Nogueira,198.8,1.23,1.09,+55,17,11,60.7
1617,TOR,4,Lowry-DeRozan-Carroll-Patterson-Valanciunas,147.3,1.35,1.06,+90,15,5,75.0
1617,TOR,5,Lowry-DeRozan-Carroll-Nogueira-Valanciunas,108.1,1.17,1.02,+27,5,4,55.5
1617,TOR,6,Joseph-DeRozan-Ross-Patterson-Nogueira,90.6,1.10,1.12,-3,11,10,52.3
1617,TOR,7,Joseph-DeRozan-Tucker-Ibaka-Valanciunas,87.1,1.13,1.09,+11,7,5,58.3
1617,TOR,8,Lowry-Powell-DeRozan-Siakam-Valanciunas,69.8,1.05,1.11,-9,3,5,37.5
1617,TOR,9,Wright-Powell-Tucker-Patterson-Poeltl,68.1,0.94,1.09,-20,6,8,42.8
1617,TOR,10,Lowry-Powell-Carroll-Patterson-Valanciunas,64.1,1.28,1.05,+28,5,2,71.4
1617,TOR,11,Lowry-Powell-DeRozan-Carroll-Valanciunas,61.9,1.10,1.19,-14,5,7,41.6
1617,TOR,12,Lowry-DeRozan-Ross-Patterson-Valanciunas,51.6,1.28,1.07,+39,8,7,53.3
1617,TOR,13,Joseph-Powell-DeRozan-Ibaka-Valanciunas,47.9,1.16,1.22,-9,3,3,50.0
1617,TOR,14,Lowry-Powell-DeRozan-Patterson-Valanciunas,47.2,1.16,0.98,+13,8,2,80.0
1617,TOR,15,Joseph-DeRozan-Carroll-Siakam-Valanciunas,46.7,0.99,1.10,-7,6,7,46.1
1617,TOR,16,Lowry-Joseph-Ross-Patterson-Poeltl,42.6,0.98,1.12,-11,2,5,28.5
1617,TOR,17,Lowry-DeRozan-Carroll-Ibaka-Valanciunas,39.8,0.86,1.08,-15,0,3,0.0
1617,TOR,18,Lowry-DeRozan-Ross-Carroll-Valanciunas,38.8,1.20,1.27,+1,5,7,41.6
1617,TOR,19,Lowry-Joseph-Powell-Ross-Nogueira,38.0,1.18,1.29,-12,2,8,20.0
1617,TOR,20,Joseph-Powell-DeRozan-Tucker-Ibaka,33.7,1.25,1.06,+13,4,3,57.1
