Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1718,BOS,1,Irving-Brown-Tatum-Horford-Baynes,347.8,1.15,1.02,+84,19,15,55.8
1718,BOS,2,Irving-Smart-Brown-Tatum-Horford,147.0,1.15,1.13,+20,18,10,64.2
1718,BOS,3,Irving-Brown-Tatum-Morris-Horford,146.4,1.09,1.17,-21,9,12,42.8
1718,BOS,4,Rozier-Brown-Tatum-Horford-Baynes,113.5,1.12,0.97,+32,6,4,60.0
1718,BOS,5,Irving-Smart-Brown-Morris-Horford,74.2,1.22,0.97,+37,9,6,60.0
1718,BOS,6,Irving-Smart-Tatum-Horford-Baynes,69.9,0.99,1.04,-8,2,9,18.1
1718,BOS,7,Rozier-Tatum-Morris-Horford-Baynes,51.7,1.03,0.82,+20,4,1,80.0
1718,BOS,8,Irving-Smart-Brown-Horford-Baynes,50.5,1.18,0.82,+36,12,2,85.7
1718,BOS,9,Irving-Brown-Tatum-Theis-Horford,49.4,1.04,1.04,-1,5,5,50.0
1718,BOS,10,Rozier-Irving-Brown-Tatum-Horford,44.8,1.06,1.00,+10,8,6,57.1
1718,BOS,11,Smart-Brown-Tatum-Horford-Baynes,42.3,1.19,1.00,+13,5,1,83.3
1718,BOS,12,Rozier-Smart-Ojeleye-Morris-Theis,40.5,1.20,1.11,+7,4,4,50.0
1718,BOS,13,Irving-Smart-Brown-Ojeleye-Horford,40.0,1.27,0.99,+22,6,4,60.0
1718,BOS,14,Rozier-Irving-Smart-Tatum-Horford,39.8,1.14,1.00,+18,8,4,66.6
1718,BOS,15,Rozier-Smart-Tatum-Morris-Theis,37.1,0.85,1.15,-29,5,9,35.7
1718,BOS,16,Irving-Brown-Tatum-Morris-Baynes,35.4,1.09,1.03,+2,2,4,33.3
1718,BOS,17,Larkin-Nader-Tatum-Ojeleye-Monroe,34.9,0.99,0.96,+4,3,3,50.0
1718,BOS,18,Rozier-Smart-Brown-Morris-Horford,34.5,1.17,0.93,+20,8,2,80.0
1718,BOS,19,Irving-Smart-Brown-Ojeleye-Baynes,34.3,1.09,1.01,+5,6,2,75.0
1718,BOS,20,Rozier-Smart-Tatum-Ojeleye-Theis,33.4,1.12,1.19,-8,4,8,33.3
