Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1718,HOU,1,Paul-Harden-Ariza-Tucker-Capela,262.9,1.12,1.09,+18,11,9,55.0
1718,HOU,2,Harden-Gordon-Ariza-Anderson-Capela,213.0,1.26,1.03,+101,17,6,73.9
1718,HOU,3,Paul-Harden-Ariza-Anderson-Capela,182.8,1.22,1.14,+38,8,9,47.0
1718,HOU,4,Harden-Gordon-Ariza-Tucker-Capela,156.3,1.13,1.07,+18,16,12,57.1
1718,HOU,5,Paul-Harden-MbahaMoute-Tucker-Capela,128.9,1.29,1.05,+48,13,4,76.4
1718,HOU,6,Paul-Gordon-Ariza-Anderson-Capela,101.2,1.12,1.06,+13,8,6,57.1
1718,HOU,7,Harden-Gordon-MbahaMoute-Tucker-Capela,73.2,1.14,0.99,+22,12,7,63.1
1718,HOU,8,Harden-Gordon-MbahaMoute-Tucker-Nene,61.7,1.05,0.89,+20,10,3,76.9
1718,HOU,9,Paul-Harden-MbahaMoute-Anderson-Capela,56.9,1.28,1.02,+30,3,2,60.0
1718,HOU,10,Harden-Gordon-Ariza-MbahaMoute-Capela,55.4,1.15,1.07,+6,5,9,35.7
1718,HOU,11,Harden-Gordon-Ariza-Tucker-Anderson,54.5,1.06,1.22,-15,4,10,28.5
1718,HOU,12,Harden-Ariza-MbahaMoute-Tucker-Nene,54.1,1.19,1.03,+20,4,4,50.0
1718,HOU,13,Harden-Gordon-Ariza-Tucker-Nene,50.0,1.35,0.98,+38,10,4,71.4
1718,HOU,14,Harden-Gordon-MbahaMoute-Anderson-Capela,47.1,1.01,0.98,+0,11,4,73.3
1718,HOU,15,Harden-Gordon-Ariza-Anderson-Nene,45.7,1.07,1.10,-2,3,6,33.3
1718,HOU,16,Paul-Gordon-Ariza-Tucker-Capela,41.9,1.46,1.13,+33,5,5,50.0
1718,HOU,17,Harden-Green-Ariza-Tucker-Capela,37.8,0.96,1.06,-6,2,4,33.3
1718,HOU,18,Harden-Ariza-MbahaMoute-Tucker-Capela,37.4,1.05,1.08,-5,4,7,36.3
1718,HOU,19,Paul-Harden-Ariza-Tucker-Anderson,36.1,1.01,1.14,-11,3,5,37.5
1718,HOU,20,Paul-Gordon-MbahaMoute-Tucker-Nene,31.2,1.15,0.89,+19,4,5,44.4
