Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1819,SAC,1,Fox-Hield-Shumpert-Bjelica-Cauley-Stein,491.3,1.09,1.10,-2,20,18,52.6
1819,SAC,2,Fox-Hield-Barnes-Bjelica-Cauley-Stein,255.4,1.13,1.11,+2,11,11,50.0
1819,SAC,3,Fox-Hield-Bogdanovic-Barnes-Cauley-Stein,188.1,1.09,1.12,-11,7,11,38.8
1819,SAC,4,Fox-Hield-Bogdanovic-Bjelica-Cauley-Stein,149.5,1.12,1.16,+0,10,9,52.6
1819,SAC,5,Fox-Hield-Shumpert-BagleyIII-Cauley-Stein,94.1,1.35,1.07,+49,14,7,66.6
1819,SAC,6,Fox-Hield-Barnes-BagleyIII-Cauley-Stein,86.4,1.07,1.08,+7,10,6,62.5
1819,SAC,7,Fox-Hield-Jackson-Bjelica-Cauley-Stein,84.4,1.17,0.98,+36,8,5,61.5
1819,SAC,8,Ferrell-Bogdanovic-Jackson-GilesIII-BagleyIII,69.9,1.21,1.08,+23,5,4,55.5
1819,SAC,9,Fox-Shumpert-Bogdanovic-Bjelica-Cauley-Stein,54.7,1.29,1.20,+7,7,9,43.7
1819,SAC,10,Fox-Hield-Shumpert-Bogdanovic-Cauley-Stein,41.2,1.30,1.14,+16,7,4,63.6
1819,SAC,11,Fox-Hield-Bogdanovic-Jackson-Cauley-Stein,40.1,0.99,0.91,+8,5,4,55.5
1819,SAC,12,Fox-Hield-Barnes-Bjelica-BagleyIII,35.2,1.16,1.32,-12,4,6,40.0
1819,SAC,13,Fox-Hield-Bogdanovic-BagleyIII-Cauley-Stein,35.0,0.92,1.27,-19,7,9,43.7
1819,SAC,14,Fox-Hield-Shumpert-Jackson-Cauley-Stein,31.5,1.00,1.29,-22,4,5,44.4
1819,SAC,15,Fox-Hield-Bogdanovic-Barnes-BagleyIII,30.7,1.06,1.44,-26,1,6,14.2
1819,SAC,16,Ferrell-Bogdanovic-Brewer-GilesIII-BagleyIII,29.6,1.31,1.06,+14,3,3,50.0
1819,SAC,17,Ferrell-Hield-Bogdanovic-GilesIII-BagleyIII,29.3,1.14,1.24,-12,3,4,42.8
1819,SAC,18,Fox-Shumpert-Bogdanovic-Jackson-Cauley-Stein,27.6,1.02,0.90,+10,3,2,60.0
1819,SAC,19,Ferrell-Hield-Bogdanovic-Bjelica-BagleyIII,27.5,1.27,0.96,+18,8,2,80.0
1819,SAC,20,Fox-Hield-Bogdanovic-GilesIII-BagleyIII,26.6,1.03,0.95,+7,4,4,50.0
