Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1920,MEM,1,Morant-D.Brooks-Crowder-JacksonJr.-Valanciunas,407.7,1.17,1.12,+53,22,12,64.7
1920,MEM,2,Morant-D.Brooks-Anderson-JacksonJr.-Valanciunas,148.9,0.94,1.06,-41,6,9,40.0
1920,MEM,3,Melton-Morant-D.Brooks-Anderson-Valanciunas,132.0,1.10,1.02,+21,6,3,66.6
1920,MEM,4,Jones-Clarke-D.Brooks-Crowder-JacksonJr.,78.0,0.96,1.07,-22,10,14,41.6
1920,MEM,5,Jones-D.Brooks-Crowder-JacksonJr.-Valanciunas,60.5,0.98,1.13,-23,4,10,28.5
1920,MEM,6,Melton-Morant-Clarke-D.Brooks-JacksonJr.,53.0,1.22,1.16,+9,6,4,60.0
1920,MEM,7,Morant-Clarke-D.Brooks-Crowder-Valanciunas,52.9,1.19,0.90,+35,10,4,71.4
1920,MEM,8,Morant-D.Brooks-Crowder-Hill-JacksonJr.,52.4,1.22,1.15,+4,10,4,71.4
1920,MEM,9,Morant-D.Brooks-Hill-Anderson-Valanciunas,51.6,1.06,1.17,-7,8,7,53.3
1920,MEM,10,Jones-Melton-Clarke-Hill-Anderson,50.0,1.11,1.04,+3,7,6,53.8
1920,MEM,11,Jones-Konchar-Jackson-Tolliver-Dieng,48.7,1.30,0.94,+35,3,2,60.0
1920,MEM,12,Jones-Melton-Clarke-Anderson-JacksonJr.,48.2,1.35,1.00,+42,11,6,64.7
1920,MEM,13,Morant-Allen-D.Brooks-Hill-Valanciunas,46.2,1.13,1.34,-21,5,9,35.7
1920,MEM,14,Morant-Clarke-D.Brooks-Crowder-JacksonJr.,45.2,0.84,1.27,-44,3,17,15.0
1920,MEM,15,Morant-D.Brooks-Anderson-Tolliver-Valanciunas,42.2,1.07,0.88,+20,3,1,75.0
1920,MEM,16,Morant-D.Brooks-Crowder-Hill-Valanciunas,40.0,0.98,1.21,-23,1,6,14.2
1920,MEM,17,Jones-Melton-Clarke-Crowder-JacksonJr.,38.6,1.33,1.16,+9,6,8,42.8
1920,MEM,18,Morant-Clarke-D.Brooks-Anderson-Valanciunas,38.2,1.00,1.14,-11,3,8,27.2
1920,MEM,19,Morant-D.Brooks-Anderson-Jackson-Valanciunas,37.1,1.23,1.11,+7,4,4,50.0
1920,MEM,20,Melton-Morant-Clarke-Crowder-JacksonJr.,33.3,0.95,0.88,+3,6,4,60.0
