Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
1920,MIN,1,Russell-Okogie-Beasley-Hernangomez-Reid,123.0,1.09,1.16,-19,6,5,54.5
1920,MIN,2,Napier-Culver-Wiggins-Covington-Towns,103.4,1.21,1.22,+3,5,5,50.0
1920,MIN,3,Napier-Culver-Wiggins-Covington-Dieng,99.2,1.16,1.11,+14,5,8,38.4
1920,MIN,4,Napier-Okogie-Wiggins-Covington-Towns,76.6,1.07,1.22,-31,4,8,33.3
1920,MIN,5,Graham-Culver-Wiggins-Covington-Towns,73.6,1.18,1.07,+18,5,3,62.5
1920,MIN,6,Teague-Graham-Wiggins-Covington-Towns,71.1,1.11,1.22,-17,2,4,33.3
1920,MIN,7,Napier-Okogie-Wiggins-Covington-Dieng,65.3,0.97,1.05,-8,6,8,42.8
1920,MIN,8,Russell-Okogie-Beasley-Hernangomez-J.Johnson,62.6,1.12,1.25,-21,3,7,30.0
1920,MIN,9,Okogie-Culver-Wiggins-Covington-Towns,56.4,1.22,1.42,-28,3,5,37.5
1920,MIN,10,Napier-Culver-Martin-Covington-Dieng,53.2,1.13,0.89,+24,5,0,100
1920,MIN,11,Teague-Okogie-Wiggins-Covington-Towns,44.0,1.33,1.12,+20,6,3,66.6
1920,MIN,12,Teague-Graham-Wiggins-Covington-Dieng,34.1,1.01,1.12,-6,2,2,50.0
1920,MIN,13,Teague-Okogie-Wiggins-Covington-Dieng,31.4,1.03,0.78,+17,5,2,71.4
1920,MIN,14,Napier-Okogie-Culver-Layman-Vonleh,28.1,0.97,0.84,+7,4,2,66.6
1920,MIN,15,McLaughlin-Okogie-Beasley-Hernangomez-J.Johnson,21.9,1.04,1.28,-10,0,5,0.0
1920,MIN,16,Okogie-Graham-Wiggins-Covington-Towns,21.2,1.18,1.12,+5,3,1,75.0
1920,MIN,17,Teague-Graham-Layman-Covington-Towns,20.7,1.20,1.11,+3,2,2,50.0
1920,MIN,18,McLaughlin-Okogie-Beasley-Hernangomez-Reid,20.4,1.13,1.02,+8,3,4,42.8
1920,MIN,19,Teague-Okogie-Culver-Bates-Diop-Reid,19.7,1.10,1.20,-1,2,4,33.3
1920,MIN,20,Teague-Okogie-Culver-Covington-Towns,19.7,1.14,1.46,-12,2,4,33.3
